name_encoded,year,selling_price,km_driven,fuel_encoded,seller_type_encoded,transmission_encoded,owner
2522,2010,475000,50000,4,0,1,0
2529,2014,410000,39485,4,0,1,1
2532,2014,1999000,41000,1,0,0,0
2522,2013,695000,40001,4,0,1,0
2528,2015,450000,40588,4,0,1,0
2532,2014,1875000,78000,1,0,0,0
2532,2015,2350000,47000,1,0,0,0
2532,2017,3300000,6000,1,0,0,0
2531,2014,475000,45000,1,0,1,0
2537,2017,1975000,11000,4,0,0,0
2532,2010,925000,59000,1,0,1,0
2522,2011,435000,88000,4,0,1,0
2522,2016,1425000,12000,4,0,1,0
2531,2014,395000,71000,1,0,1,0
2522,2011,450000,45000,1,0,1,0
2522,2013,745000,56001,4,0,1,0
2531,2011,265000,43000,4,0,1,0
2528,2014,490000,83000,1,0,1,0
2529,2015,395000,36000,4,0,1,0
2522,2013,550000,72000,4,0,1,0
2521,2004,150000,135154,4,0,0,0
2522,2010,525000,80000,4,0,0,0
2532,2012,1450000,89000,1,0,0,0
2522,2016,1473000,23000,1,0,1,0
2530,2015,475000,40000,1,0,1,0
2537,2017,2300000,15000,1,0,0,0
2537,2015,1250000,38000,1,0,1,0
2537,2005,349000,197176,1,0,1,0
2518,2006,250000,142000,4,1,0,3
2522,2012,590000,56000,4,0,1,0
2531,2013,345000,47000,4,0,1,0
2529,2014,475000,40000,4,0,1,0
2522,2009,380000,62000,4,0,1,0
2537,2005,351000,75000,4,0,1,0
2522,2008,400000,89000,4,0,0,0
2522,2012,585000,72000,4,0,1,0
2537,2016,2075000,29000,1,0,0,0
2522,2017,1700000,8700,4,0,1,0
2522,2013,705000,45000,4,0,1,0
2532,2010,965000,50024,1,0,1,0
1931,2016,175000,3000,4,1,1,0
2413,2017,170000,1400,4,1,1,0
1015,2017,165000,4000,4,1,1,0
86,2017,145000,1200,4,1,1,0
1928,2017,135000,4100,4,1,1,0
1016,2015,135000,21700,4,1,1,0
619,2014,135000,16500,4,1,1,1
1930,2013,125000,15000,4,1,1,0
1930,2016,120000,18000,4,1,1,0
1928,2017,120000,11000,4,1,1,0
1015,2016,120000,6000,4,1,1,0
1930,2016,115000,8700,4,1,1,0
1014,2014,115000,7000,4,1,1,0
1132,2016,115000,35000,4,1,1,0
1928,2015,111000,17500,4,1,1,0
1928,2013,110000,33000,4,1,1,0
1931,2015,110000,14000,4,1,1,0
1928,2015,110000,26000,4,1,1,0
1931,2013,105000,5400,4,1,1,0
92,2016,105000,5700,4,1,1,0
1930,2011,105000,6900,4,1,1,0
1927,2016,105000,6000,4,1,1,0
1928,2013,100000,46500,4,1,1,0
1929,2012,95000,11500,4,1,1,0
1929,2009,90000,40000,4,1,1,0
81,2017,90000,1300,4,1,1,0
79,2016,75000,7000,4,1,1,0
502,2017,80000,3000,4,1,1,0
2511,2017,78000,5000,4,1,1,0
502,2017,75000,11000,4,1,1,0
2509,2015,75000,18000,4,1,1,0
81,2017,75000,3500,4,1,1,0
81,2016,72000,500,4,1,1,0
2000,2017,65000,11800,4,1,1,0
89,2015,65000,5000,4,1,1,0
431,2013,65000,16000,4,1,1,0
502,2016,60000,15000,4,1,1,0
82,2015,60000,16600,4,1,1,0
506,2013,60000,32000,4,1,1,0
80,2016,60000,20000,4,1,1,0
2508,2015,60000,29000,4,1,1,0
2508,2016,60000,25000,4,1,1,0
87,2014,60000,25000,4,1,1,0
2000,2012,60000,19000,4,1,1,0
431,2014,55000,15000,4,1,1,0
2511,2015,55000,58000,4,1,1,0
90,2010,52000,45000,4,1,1,0
90,2016,51000,24000,4,1,1,0
2001,2011,50000,6000,4,1,1,0
437,2016,50000,31000,4,1,1,0
91,2012,50000,13000,4,1,1,0
91,2013,50000,45000,4,1,1,0
2512,2014,50000,8000,4,1,1,0
449,2017,48000,4300,4,1,0,0
2003,2017,48000,15000,4,1,1,0
2511,2015,48000,23000,4,1,1,0
584,2017,48000,8600,4,1,1,0
449,2017,45000,4000,4,1,0,0
83,2011,45000,24000,4,1,1,0
2001,2014,45000,23000,4,1,1,0
91,2012,45000,14500,4,1,1,0
82,2010,45000,27000,4,1,1,0
439,2016,45000,14000,4,1,1,0
0,2016,45000,500,4,1,0,0
436,2016,45000,1000,4,1,1,0
2000,2014,42000,42000,4,1,1,0
504,2013,42000,12000,4,1,1,0
439,2015,40000,14000,4,1,1,0
2510,2012,40000,5500,4,1,1,0
436,2015,40000,6700,4,1,1,0
88,2014,40000,13700,4,1,1,0
1,2017,40000,1300,4,1,0,0
433,2011,38000,75000,4,1,1,0
606,2011,35000,30000,4,1,1,0
448,2016,35000,24000,4,1,0,0
2002,2014,35000,19000,4,1,0,0
606,2010,31000,213000,4,1,1,0
434,2012,30000,60000,4,1,1,0
438,2016,30000,50000,4,1,1,0
503,2013,30000,30000,4,1,1,0
84,2013,27000,21000,4,1,1,0
89,2008,25000,26000,4,1,1,1
1999,2008,25000,1900,4,1,0,0
505,2013,25000,32000,4,1,1,0
432,2013,25000,18000,4,1,1,0
440,2005,20000,55000,4,1,1,0
89,2008,20000,60000,4,1,1,0
85,2012,20000,25000,4,1,1,1
435,2007,20000,49000,4,1,1,1
430,2013,20000,24000,4,1,1,1
429,2008,20000,50000,4,1,1,0
78,2015,18000,35000,4,1,1,0
0,2008,17000,500000,4,1,0,0
505,2010,16000,33000,4,1,1,0
85,2011,15000,35000,4,1,1,1
503,2007,12000,53000,4,1,1,0
89,2006,10000,92233,4,1,1,0
2535,2010,325000,58000,1,0,1,1
2533,2015,440000,28200,4,0,1,0
2534,2011,295000,53460,4,0,1,0
2526,2015,275000,28282,4,0,1,0
2533,2016,525000,3493,4,0,1,1
2547,2017,575000,12479,4,0,1,0
2535,2017,790000,3435,4,0,1,0
2534,2012,310000,35775,4,0,1,0
2525,2015,1175000,43535,1,0,1,0
2523,2016,1125000,22671,4,0,1,0
2535,2011,290000,31604,4,0,1,0
2533,2017,525000,20114,4,0,1,0
2544,2012,450000,36100,4,0,1,0
2526,2016,315000,15000,4,0,1,0
2544,2014,645000,45078,4,0,1,0
2544,2012,450000,36000,4,0,1,0
2526,2017,350000,38488,4,0,1,0
2535,2014,600000,77632,1,0,1,0
2544,2015,825000,61381,1,0,1,0
2544,2013,511000,36198,4,0,0,0
2533,2015,525000,24678,4,0,1,0
2534,2011,255000,57000,4,0,1,0
2544,2012,495000,60000,1,0,1,0
2535,2012,310000,52132,1,0,1,0
2544,2013,615000,45000,1,0,1,0
2544,2017,925000,15001,4,0,1,0
2525,2015,1145000,12900,4,0,0,0
2533,2013,390000,53000,1,0,1,0
2533,2015,550000,4492,4,0,1,0
2544,2017,910000,15141,4,0,1,0
2526,2016,310000,11849,4,0,1,0
2523,2015,1125000,68000,1,0,1,0
2544,2013,480000,60241,4,0,1,0
2526,2012,200000,23709,4,0,1,0
2544,2012,535000,32322,1,0,1,0
2535,2016,625000,7000,4,0,1,0
2544,2013,595000,49000,1,0,1,0
2544,2012,520000,71000,1,0,1,0
2535,2012,375000,35000,4,0,1,0
2544,2015,595000,36000,4,0,1,0
2535,2016,525000,17000,4,0,1,0
2523,2016,1290000,35934,1,0,1,0
2517,2015,540000,31427,4,0,0,0
2520,2014,720000,48000,1,0,1,0
2520,2013,525000,54242,4,0,1,0
2517,2012,300000,53675,4,0,1,0
2520,2016,1025000,49562,4,0,1,0
2520,2015,850000,40324,4,0,1,0
2520,2015,840000,25000,4,0,1,0
2515,2014,390000,36054,4,0,1,0
2520,2016,915000,29223,4,0,1,0
2517,2016,550000,5600,4,0,1,0
2515,2015,400000,40023,4,0,1,0
2538,2016,660000,16002,4,0,1,0
2538,2017,650000,21200,4,0,1,0
2515,2014,365000,35000,4,0,1,0
2520,2016,835000,19434,1,0,1,0
2517,2017,480000,19000,4,0,1,0
2520,2015,670000,18828,4,0,1,0
2520,2011,410000,69341,4,0,1,0
2520,2009,300000,69562,4,0,1,0
2520,2015,750000,27600,4,0,1,0
2538,2010,225000,61203,4,0,1,0
2520,2016,1090000,30753,4,0,0,0
2520,2015,865000,24800,4,0,1,0
2520,2015,970000,21780,4,0,1,0
2520,2014,625000,40126,4,0,1,0
2517,2015,525000,14465,4,0,1,0
2520,2006,210000,50456,4,0,1,0
2520,2014,825000,63000,1,0,1,0
2520,2016,899000,9010,4,0,1,0
2517,2013,350000,9800,4,0,1,0
2538,2016,740000,15059,4,0,0,0
2538,2016,565000,28569,4,0,1,0
2515,2015,575000,44000,4,0,0,0
2520,2015,840000,34000,4,0,1,0
2520,2016,1011000,10980,4,0,1,0
2515,2014,450000,19000,4,0,1,0
2517,2015,540000,31427,4,0,1,0
2538,2016,640000,12000,4,0,1,0
2520,2010,325000,38000,4,0,1,0
2515,2014,375000,33019,4,0,1,0
2520,2015,855000,60076,1,0,1,0
2520,2016,950000,33988,1,0,1,0
2517,2015,400000,60000,4,0,1,0
2520,2009,335000,87934,4,0,1,0
2520,2017,1150000,9000,1,0,1,0
2517,2016,530000,5464,4,0,1,0
1308,2007,60000,70000,4,1,1,0
1708,2007,135000,50000,4,1,1,0
218,2017,250000,46000,4,1,1,0
481,2014,450000,141000,1,1,1,1
1360,2007,140000,125000,4,1,1,0
2104,2014,240000,60000,4,1,1,1
656,2015,850000,25000,4,1,1,0
1390,2017,365000,78000,0,1,1,0
139,2015,260000,35000,4,1,1,0
2104,2014,250000,100000,4,1,1,0
2286,2018,1650000,25000,4,0,0,0
829,2012,600000,100000,1,1,1,0
888,2016,550000,25000,4,1,1,0
1436,2015,585000,24000,4,0,1,0
812,2019,1195000,5000,1,0,1,0
130,2013,390000,33000,1,1,1,1
997,2014,1964999,28000,1,0,0,0
1792,2013,1425000,59000,1,0,0,0
1682,2018,975000,4500,1,0,0,0
31,2011,1190000,175900,1,0,0,0
538,2018,930000,14500,4,0,1,0
2248,2018,525000,15000,4,1,1,0
20,2013,1735000,50000,1,0,0,0
1797,2012,1375000,33800,1,0,0,1
1994,2011,450000,130400,1,0,0,1
2293,2016,900000,50000,4,1,0,0
2355,2015,1300000,80000,1,1,1,0
1005,2019,1400000,10000,4,1,1,0
1768,2010,850000,119000,4,0,0,0
908,2014,229999,60000,4,1,1,3
51,2013,1550000,75800,1,0,0,1
40,2009,1250000,78000,1,0,0,2
678,2012,625000,40000,1,1,1,0
1145,2014,1050000,50000,1,1,1,0
546,2014,560000,74000,1,1,1,1
1722,2014,290000,64000,4,1,1,1
1721,2012,275000,60000,4,1,1,1
1174,2009,411000,120000,1,1,1,1
781,2009,150000,79000,4,1,1,2
717,2019,500000,15000,4,1,1,0
1362,2006,100000,80000,4,1,1,0
1611,2017,725000,18500,1,0,1,0
1450,2018,401000,10200,4,0,1,0
985,2018,750000,29000,1,0,1,0
1532,2018,310000,28000,4,0,1,0
1666,2016,665000,46000,1,0,1,0
948,2014,465000,70000,1,0,1,0
1089,1996,250000,35000,1,1,1,1
547,2014,675000,90000,1,0,1,0
1721,2013,300000,80000,4,0,1,0
2025,2005,70000,80000,1,1,1,0
672,2014,240000,73300,4,0,1,1
2308,2014,525000,92000,1,0,1,0
1362,2009,151000,66764,4,0,1,1
1362,2009,140000,100000,4,1,1,0
183,2010,280000,350000,1,1,1,1
2289,2011,350000,230000,1,1,1,0
672,2018,300000,31000,4,1,1,0
2099,2007,100000,39000,1,1,1,0
2374,2009,500000,120000,1,1,1,2
1579,2006,130000,110000,4,1,1,2
273,2017,925000,35000,1,1,1,0
1414,2018,750000,60000,1,1,1,0
578,2007,200000,54000,4,1,0,1
915,2010,248000,63000,4,1,1,1
1970,2014,450000,120000,1,1,1,1
710,2005,80000,120000,4,1,1,2
1846,2014,650000,76000,4,1,1,1
734,2015,450000,80000,1,1,1,0
690,2019,650000,25000,1,1,1,0
470,2016,495000,11958,4,0,1,0
498,2015,371000,20000,4,0,1,0
652,2017,1025000,9000,4,0,1,0
1804,2017,8150000,6500,1,0,0,0
1281,2015,750000,70000,1,1,1,0
797,2007,80000,58000,4,0,1,1
1048,2013,325000,62200,1,0,1,0
21,2014,1470000,34000,1,0,0,1
221,2015,350000,53000,1,1,1,1
26,2013,2800000,49000,1,0,0,0
211,2017,210000,15000,4,0,1,1
2432,2013,450000,50000,4,1,1,0
578,2009,210000,63500,4,0,0,0
1778,2018,4500000,9800,4,0,0,0
2499,2018,1975000,21000,1,0,0,0
1572,2008,175000,29173,4,0,1,0
63,2012,2500000,48000,1,0,0,0
1076,2017,628000,120000,1,1,1,0
807,2010,600000,100000,1,1,1,0
1823,2017,399000,30000,4,1,1,0
1291,2018,750000,87000,1,1,1,0
702,2019,750000,15000,4,1,1,0
1904,2017,315000,16000,4,1,1,0
1297,2012,600000,60000,1,1,1,0
1708,2010,100000,60000,4,1,1,3
1570,2011,250000,110000,4,1,1,2
1904,2017,350000,25000,4,1,1,0
635,2016,780000,60000,1,1,1,0
1610,2014,434000,79350,1,1,1,1
837,2016,690000,80000,4,1,0,0
1176,2014,555000,90000,1,1,1,1
103,2013,165000,60000,1,1,1,1
1749,2004,95000,50000,4,1,1,0
1375,2018,550000,20000,4,1,1,0
2147,2012,100000,50000,4,1,1,1
2367,2012,500000,100000,1,1,1,0
1470,2016,800000,70000,1,1,1,1
642,2016,840000,70000,1,1,1,1
471,2016,490000,50000,4,1,1,0
2058,2010,125000,81000,1,1,1,1
171,2012,400000,120000,1,1,1,2
118,2015,1000000,3600,1,0,1,0
377,2015,530000,14272,4,0,1,0
274,2017,840000,49213,1,0,1,0
1320,1998,40000,40000,4,1,1,3
158,2012,130000,80000,4,1,1,0
665,2015,200000,70000,4,1,1,0
2059,2011,120000,70000,1,1,1,0
763,2003,75000,57000,4,1,1,0
1310,2005,100000,30000,4,1,1,0
665,2013,280000,3240,4,1,1,1
978,2015,540000,5000,4,1,1,0
919,2018,700000,10000,4,1,1,0
1433,2015,525000,100000,1,1,1,0
967,2016,430000,80000,1,1,1,0
760,2002,65000,70000,4,1,1,0
1676,2018,800000,35000,1,1,1,0
796,2007,75000,114000,4,1,1,1
705,2008,210000,53772,4,1,1,0
1138,2012,195000,140000,1,1,1,1
178,2015,400000,120000,1,1,1,0
672,2012,170000,60000,4,1,1,0
1904,2016,225000,25000,4,1,1,0
1694,2014,210000,90000,3,1,1,0
1700,2020,240000,120000,4,1,1,0
121,2015,300000,175000,1,1,1,0
158,2011,99000,100000,4,1,1,2
557,2014,620000,36000,4,1,1,0
481,2013,500000,30000,1,1,1,0
1001,2010,2550000,40000,4,1,0,1
496,2013,260000,70000,4,1,1,1
1650,2017,550000,60000,4,1,1,0
2084,2011,150000,155500,1,1,1,0
899,2011,350000,50000,4,1,0,1
109,2016,320000,40000,4,1,1,0
1643,2015,400000,100000,1,1,1,2
1362,2012,175000,80000,4,1,1,2
109,2011,120000,90000,4,1,1,1
1866,2013,320000,90000,1,1,1,1
784,2006,70000,110000,4,1,1,2
1625,2019,810000,15000,4,1,1,0
1308,2007,95000,100000,4,1,1,1
1352,2020,282000,40000,0,1,1,0
1321,2004,80000,60000,4,1,1,1
2144,2013,72000,25000,4,1,1,0
978,2016,600000,25000,4,1,1,0
1982,2015,640000,23000,4,1,1,0
1354,2018,380000,22155,4,1,1,0
1419,2018,650000,70000,4,1,1,0
1359,2009,150000,60000,4,1,1,1
963,2009,280000,110000,4,1,1,1
2174,2018,430000,30000,4,1,1,0
1076,2019,800000,15000,1,1,1,0
1735,2003,75000,100000,1,1,1,1
1452,2017,390000,24000,4,1,1,0
517,2005,100000,120000,4,1,1,1
1792,2013,1500000,35000,1,1,0,0
1573,2007,175000,78380,4,1,1,0
1866,2012,434999,110000,1,1,1,1
394,2010,170000,90000,1,1,1,2
394,2011,190000,90000,1,1,1,2
1612,2009,250000,150000,1,1,1,2
1294,2009,229999,230000,1,1,1,2
1495,2006,140000,70000,4,1,1,2
925,2012,280000,110000,4,1,1,2
105,2012,150000,60000,1,1,1,0
119,2015,650000,50000,1,1,0,0
1830,2014,210000,40000,4,1,1,1
54,2017,2900000,40000,1,1,0,0
121,2013,425000,20000,1,0,1,0
666,2014,265000,55000,4,0,1,0
1923,2013,365000,55000,4,0,1,0
398,2014,350000,43000,4,0,1,0
1440,2016,685000,60000,1,1,1,0
1968,2018,940000,2650,1,0,1,0
1277,2017,1000000,40000,1,1,1,0
1471,2016,450000,115962,1,1,1,1
1551,2017,800000,40000,1,1,1,0
980,2012,385000,58000,1,0,1,0
1798,2013,2000000,15000,1,1,0,0
665,2012,235000,54000,4,0,1,0
2423,2017,640000,56000,1,0,1,0
1359,2006,52000,120000,4,1,1,2
1526,2009,80000,90000,3,1,1,1
874,2008,120000,90000,4,1,1,1
1141,2008,89999,213000,1,1,1,0
136,2012,180000,120000,1,1,1,0
1555,2012,285000,80000,1,1,1,1
735,2015,390000,90000,4,1,1,0
1364,2008,125000,80000,4,1,1,0
1573,2008,225000,60000,4,1,1,1
901,2011,175000,139000,4,1,1,1
2373,2011,1075000,160000,1,1,1,1
612,2014,300000,150000,1,1,1,0
2356,2010,700000,163000,1,1,1,3
2031,2009,90000,120000,1,0,1,0
2078,2011,120000,120000,1,1,1,1
104,2012,220000,100000,1,1,1,1
2263,2015,300000,140000,1,0,1,0
1937,2010,180000,87000,1,0,1,1
1320,2013,170000,70000,4,1,1,0
398,2015,300000,50000,4,1,1,1
2377,2014,1050000,70000,1,1,1,0
713,2018,465000,25000,1,1,1,0
105,2011,130000,80000,1,1,1,1
717,2018,500000,32000,4,1,1,0
1531,2018,200000,10000,4,1,1,0
1369,2017,625000,52000,4,0,1,0
352,2006,110000,120000,1,1,1,2
686,2019,800000,11240,4,1,1,0
732,2017,490000,66000,1,0,1,0
1471,2017,880000,64000,1,0,1,0
779,2013,290000,49000,4,1,1,0
2203,2006,115999,100000,1,1,1,1
1904,2018,360000,26500,4,1,1,0
1308,2002,65000,100000,4,1,1,1
1675,2017,685000,72000,1,0,1,0
598,2009,300000,50000,4,1,1,0
938,2017,680000,44000,1,0,1,0
1472,2017,1000000,60000,1,1,1,1
2215,2002,100000,120000,1,1,1,0
1294,2010,160000,130000,1,1,1,0
1475,2014,600000,20000,4,1,1,0
935,2009,180000,60000,1,1,1,1
1362,2007,100000,195000,4,1,1,0
1362,2010,120000,90000,4,1,1,1
708,2006,130000,80000,4,1,1,2
1697,2011,160000,155000,4,1,1,0
1076,2019,860000,35000,1,1,1,0
926,2018,650000,20000,4,1,1,1
1708,2010,100000,80000,4,1,1,1
964,2009,300000,50000,4,1,1,0
963,2010,270000,110000,4,1,1,1
831,2013,550000,29000,1,1,1,0
1289,2013,450000,120000,1,1,1,0
1082,2011,430000,70000,1,1,1,1
1476,2013,350000,40000,4,1,1,0
492,2017,350000,20000,4,1,1,0
2318,2013,229999,50000,4,1,1,1
1334,2013,110000,50000,4,1,1,0
1591,2012,395000,49000,4,1,1,1
1203,2011,650000,70000,1,1,0,1
1080,2011,350000,90000,1,1,1,1
1271,2020,1400000,25000,1,0,1,0
2230,2018,360000,4000,4,1,1,0
1130,2018,1300000,10000,1,1,1,0
672,2018,229999,30000,4,1,1,0
1715,2014,315000,41000,4,0,1,0
159,2012,125000,28000,4,1,1,0
1368,2019,700000,16000,4,1,1,0
658,2015,160000,70000,4,1,1,0
378,2017,530000,10832,4,0,1,0
387,2018,624000,14681,1,0,1,0
901,2009,250000,50000,4,1,1,0
1080,2016,585000,51000,1,0,1,0
819,2015,500000,25000,4,1,1,0
142,2014,350000,30000,4,1,1,0
562,2014,495000,80000,1,0,1,0
717,2017,500000,50000,4,1,1,0
1073,2015,430000,200000,1,1,1,0
724,2013,345000,44000,4,0,1,0
1382,2015,500000,10000,4,1,1,0
2230,2019,425000,19600,4,1,1,0
1700,2005,80000,40000,4,1,1,1
104,2011,106000,50000,1,1,1,0
1327,2009,180000,46730,4,1,1,0
188,2015,250000,40000,4,1,1,1
1998,2011,350000,80000,1,1,1,0
1754,2002,60000,80000,4,1,1,1
849,2018,900000,24000,1,1,1,0
261,2017,700000,21170,1,0,1,0
50,2013,2000000,167223,1,0,0,0
66,2011,1375000,60000,1,1,0,0
2389,2016,1800000,141440,1,0,1,0
174,2007,160000,120000,1,1,1,2
1809,2012,525000,140000,4,1,0,0
1281,2012,850000,212814,1,0,1,0
1370,2019,800000,30000,1,1,1,0
382,2017,700000,88635,1,0,1,0
1610,2018,800000,25000,1,1,1,0
926,2017,575000,20000,4,1,1,1
1866,2012,350000,110000,1,1,1,1
1158,2007,370000,100000,1,1,1,2
1384,2006,80000,120000,4,1,1,2
2026,2003,50000,120000,1,1,1,1
1721,2014,300000,35000,4,1,1,1
2028,2002,125000,40000,4,1,1,0
1610,2015,490000,60000,1,1,1,1
2319,2012,300000,50000,1,1,1,1
2148,2013,55000,25000,4,1,1,3
742,2016,350000,25000,4,1,1,0
713,2019,755000,8000,1,1,1,0
1470,2017,720000,60000,1,1,1,0
1080,2006,229999,200000,1,1,1,2
1194,2018,1100000,20000,1,1,1,0
2470,2013,400000,100000,4,1,1,0
875,2015,350000,70000,1,1,1,1
107,2012,159000,68000,1,0,1,0
1673,2017,550000,38000,4,0,1,0
1538,2013,335000,80000,1,0,1,0
2085,2014,185000,72000,0,0,1,0
1449,2012,229999,75000,0,0,1,0
1496,2014,225000,43000,4,0,1,0
1659,2007,250000,120000,4,1,1,1
2266,2015,400000,100000,1,1,1,0
1643,2014,470000,163000,1,1,1,0
1359,2011,145000,25000,4,1,1,0
1564,2007,100000,90000,4,1,1,1
1198,2014,500000,70000,1,1,1,1
782,2010,130000,98000,0,1,1,1
118,2010,240000,81925,1,1,1,0
390,2013,150000,80000,1,1,1,1
1906,2017,270000,40000,4,1,1,0
1610,2014,400000,90000,1,1,1,0
665,2012,200000,46000,4,1,1,0
1277,2012,550000,80000,1,1,1,0
1893,2018,325000,35000,4,1,1,0
1964,2017,860000,82080,1,1,0,0
1281,2012,600000,200000,1,1,1,0
156,2009,125000,70000,4,1,1,0
1308,2000,60000,40000,4,1,1,2
174,2010,300000,120000,1,1,1,2
348,2007,190000,60000,4,1,1,2
1473,2013,400000,110000,1,1,1,0
2129,2011,260000,97000,1,1,1,1
1649,2017,400000,30000,4,1,1,0
990,2010,250000,40000,4,1,1,0
717,2019,600000,10000,4,1,1,0
1747,2010,175000,52047,4,1,1,0
2358,2011,450000,200000,1,1,1,2
2233,2019,350000,15000,4,1,0,1
1679,2018,800000,50000,1,1,1,0
1653,2011,250000,70000,4,1,1,1
1655,2019,600000,10000,4,1,1,0
1643,2017,600000,90000,1,1,1,0
1334,2016,130000,40000,4,1,1,0
1700,2006,90000,62009,4,1,1,1
950,2017,595000,33100,4,1,1,1
665,2014,190000,40000,4,1,1,1
754,1999,50000,120000,4,1,1,1
1708,2007,95000,80000,4,1,1,0
2190,2016,1000000,70000,1,1,1,0
1178,2006,220000,220000,4,1,1,1
1080,2010,400000,50000,1,1,1,0
195,2015,315000,45000,4,1,1,1
2340,2014,1000000,110000,1,1,1,0
299,2014,500000,49000,1,1,1,0
1268,2018,1600000,35000,1,1,0,0
1359,2007,70000,180000,4,1,1,2
1308,2007,105000,60000,4,1,1,1
317,2008,400000,110000,1,1,1,2
1700,2004,80000,60000,4,1,1,2
1342,2016,300000,30000,4,1,1,0
1094,2017,409999,40000,1,1,1,0
1629,2009,250000,70000,4,1,1,0
2160,2010,250000,120000,1,1,1,1
2340,2015,1400000,120000,1,1,1,0
495,2018,475000,20000,4,1,1,0
495,2018,475000,22000,4,1,1,0
158,2008,75000,35000,4,1,1,1
150,2013,200000,120000,1,1,1,1
2238,2019,575000,8000,4,1,1,0
1538,2011,150000,40000,1,1,1,1
1681,2018,850000,10000,1,1,1,0
753,2019,350000,30000,4,1,1,0
317,2011,550000,54000,1,1,1,1
819,2017,330000,80577,4,1,1,0
563,2017,1044999,25000,1,1,1,0
820,2011,300000,127500,1,1,1,1
662,2015,235000,40903,4,0,1,0
398,2011,120000,60000,4,1,1,2
323,2004,275000,22288,1,0,1,1
2439,2011,270000,180000,1,1,1,1
2454,2015,500000,30000,1,1,1,1
742,2015,400000,61690,4,0,1,0
966,2015,600000,64484,4,0,1,0
31,2012,1350000,90000,1,1,0,1
1870,2013,400000,75976,1,0,1,1
394,2011,220000,70000,1,1,1,1
496,2012,300000,85962,4,0,1,1
1525,2018,250000,120000,4,1,1,0
612,2015,600000,120000,1,1,1,0
499,2012,285000,75000,4,1,0,1
444,2009,350000,57035,4,0,1,0
1080,2011,170000,70000,1,1,1,2
361,2015,229999,45000,4,1,1,0
1277,2013,500000,72104,1,0,1,1
2145,2011,75000,15000,4,1,1,0
951,2016,600000,30000,4,1,1,0
2107,2011,220000,80000,1,1,1,0
2080,2009,150000,164000,1,1,1,1
1359,2006,65000,124439,4,1,1,1
1757,2006,120000,77000,4,1,1,1
1610,2014,240000,90000,1,1,1,0
1893,2017,390000,30000,4,1,1,0
108,2012,180000,50000,4,1,1,0
1642,2012,320000,80000,1,1,1,1
1334,2018,310000,5000,4,1,1,0
1686,2018,420000,24000,4,1,0,0
2238,2019,550000,10000,4,1,1,0
1470,2016,550000,78000,1,1,1,2
1226,2018,760000,50000,1,1,1,0
1309,2001,43000,100000,4,1,1,1
1531,2018,250000,20000,4,1,1,0
767,2019,500000,1250,4,1,1,0
2269,2015,380000,17152,4,1,1,0
1270,2019,1850000,5000,1,1,0,0
2464,2012,350000,77000,1,1,1,0
844,2008,195000,90000,1,1,1,1
2355,2015,1125000,65000,1,1,1,0
2073,2011,133000,80000,1,1,1,0
665,2013,200000,24005,4,1,1,0
1681,2018,940000,20000,1,1,1,0
1872,2014,400000,120000,1,1,1,0
1579,2005,110000,80000,4,1,1,0
