selling_price,torque,max_power,km_driven
300000,102.0,70.0,50000
1050000,200.0,100.6,70000
300000,200.0,98.6,150000
465000,190.24,73.97,25000
130000,150.0,57.6,80000
500000,113.75,81.86,32000
200000,59.0,34.2,10000
625000,115.0,83.1,52000
110000,160.0,67.0,120000
800000,117.0,81.86,11240
490000,160.0,70.0,66000
880000,200.0,88.5,64000
290000,96.1,62.1,49000
360000,72.0,53.3,26500
65000,59.0,37.0,100000
685000,200.0,88.5,72000
680000,219.7,88.73,44000
1000000,200.0,88.5,60000
160000,260.0,112.0,130000
600000,130.0,93.7,20000
100000,62.0,46.3,195000
120000,62.0,46.3,90000
860000,195.0,70.0,35000
650000,114.7,81.83,20000
100000,84.0,67.0,80000
300000,11.4,80.0,50000
270000,11.4,80.0,110000
550000,259.8,126.32,29000
450000,220.0,95.0,120000
430000,180.0,63.0,70000
350000,109.0,86.8,20000
229999,104.0,78.9,50000
110000,69.0,47.3,50000
395000,114.0,85.8,49000
650000,290.0,120.0,70000
350000,180.0,63.0,90000
1400000,360.0,155.0,25000
360000,114.0,84.0,4000
229999,74.5,55.2,30000
315000,90.0,67.1,41000
125000,90.3,62.0,28000
700000,113.0,81.8,16000
160000,94.14,68.05,70000
530000,112.0,86.8,10832
250000,99.04,68.05,50000
585000,180.0,63.0,51000
500000,135.3,105.5,25000
500000,113.75,81.86,50000
430000,180.0,63.0,200000
345000,113.75,81.86,44000
500000,115.0,83.1,10000
425000,114.0,84.0,19600
80000,90.0,67.05,40000
106000,150.0,57.6,50000
180000,90.0,66.1,46730
250000,104.0,67.06,40000
900000,259.87,126.2,24000
700000,215.0,99.23,21170
1800000,343.0,147.51,141440
850000,330.0,140.0,212814
800000,190.0,74.0,30000
700000,215.0,99.0,88635
800000,190.0,74.0,25000
575000,114.7,81.83,20000
350000,248.0,108.45,110000
370000,28.3,116.6,100000
300000,90.0,67.04,35000
490000,190.0,74.0,60000
300000,170.0,67.06,50000
55000,51.0,37.5,25000
350000,114.0,82.0,25000
755000,190.24,73.97,8000
720000,200.0,88.5,60000
229999,180.0,63.0,200000
400000,110.0,73.9,100000
350000,180.4,71.0,70000
335000,151.5,73.92,80000
229999,101.0,73.0,75000
250000,113.0,85.0,120000
400000,200.0,88.7,100000
470000,190.0,74.0,163000
145000,62.0,46.3,25000
100000,145.0,104.68,90000
500000,290.0,120.0,70000
130000,96.1,62.1,98000
240000,327.0,147.9,81925
150000,160.0,68.1,80000
270000,72.0,53.3,40000
400000,190.0,74.0,90000
200000,74.5,55.2,46000
550000,330.0,140.0,80000
325000,91.0,67.0,35000
860000,250.0,108.6,82080
600000,330.0,140.0,200000
125000,90.3,62.0,70000
60000,59.0,37.0,40000
400000,200.0,88.76,110000
260000,200.0,88.8,97000
400000,113.0,81.8,30000
600000,113.75,81.86,10000
175000,90.0,67.1,52047
450000,20.4,102.0,200000
350000,114.0,83.83,15000
800000,200.0,88.5,50000
250000,11.5,88.2,70000
600000,113.0,81.8,10000
600000,190.0,74.0,90000
130000,69.0,47.3,40000
90000,90.0,67.05,62009
595000,114.73,81.86,33100
190000,74.5,55.2,40000
95000,84.0,67.0,80000
1000000,320.0,138.1,70000
400000,180.0,63.0,50000
315000,104.0,67.0,45000
1000000,343.0,168.5,110000
500000,204.0,89.84,49000
1600000,360.0,152.87,35000
70000,62.0,46.3,180000
105000,59.0,37.0,60000
400000,330.0,141.0,110000
80000,90.0,67.05,60000
300000,69.0,47.3,30000
250000,11.5,88.2,70000
250000,320.0,138.1,120000
1400000,343.0,168.5,120000
475000,109.0,86.8,20000
475000,109.0,86.8,22000
75000,90.3,62.0,35000
200000,205.0,76.9,120000
575000,114.0,83.81,8000
150000,151.5,73.92,40000
850000,200.0,88.5,10000
350000,99.0,68.0,30000
550000,330.0,141.0,54000
330000,135.3,105.5,80577
1044999,200.0,97.9,25000
300000,259.9,126.3,127500
235000,74.5,55.2,40903
120000,102.0,70.0,60000
500000,230.0,88.8,30000
400000,114.0,82.0,61690
600000,114.7,81.83,64484
1350000,350.0,167.6,90000
400000,200.0,83.8,75976
220000,160.0,68.0,70000
300000,109.0,86.8,85962
250000,59.0,34.2,120000
600000,200.0,98.6,120000
350000,222.0,177.6,57035
170000,180.0,63.0,70000
229999,112.0,86.8,45000
500000,330.0,140.0,72104
75000,4.8,35.0,15000
600000,114.73,81.86,30000
150000,135.0,71.0,164000
65000,62.0,46.3,124439
120000,78.0,60.0,77000
240000,190.0,74.0,90000
390000,91.0,67.0,30000
180000,108.0,79.4,50000
320000,190.0,74.0,80000
310000,69.0,47.3,5000
420000,90.0,67.0,24000
550000,114.0,83.81,10000
550000,200.0,88.5,78000
760000,240.0,100.0,50000
43000,59.0,37.0,100000
250000,59.0,34.2,20000
500000,99.0,68.0,1250
380000,140.0,88.7,17152
350000,180.0,73.9,77000
195000,24.0,110.0,90000
1125000,200.0,100.6,65000
200000,74.5,55.2,24005
940000,200.0,88.5,20000
400000,200.0,83.8,120000
490000,248.0,108.45,100000
140000,62.0,46.3,120000
175000,160.0,68.0,149000
90000,90.0,67.1,65000
275000,190.0,75.0,100000
300000,250.0,103.6,65000
270000,104.0,67.0,19000
130000,108.0,79.4,80000
352000,190.0,74.0,109000
150000,62.0,46.3,90000
300000,250.0,103.6,65000
300000,190.0,75.0,110000
225000,180.0,63.0,120000
600000,200.0,98.6,44000
600000,114.7,81.83,61000
450000,170.0,67.05,100000
270000,99.04,68.05,27633
310000,190.0,75.0,100000
700000,112.0,86.8,12586
400000,160.0,68.0,55328
425000,160.0,68.0,81632
600000,215.0,99.23,155201
600000,205.0,98.59,93283
300000,190.0,75.0,217871
450000,160.0,67.0,90165
750000,204.0,89.84,101504
325000,215.0,99.23,86017
900000,330.0,140.0,85036
600000,205.0,98.59,125531
280000,190.0,73.94,90000
225000,220.0,95.0,120000
520000,200.0,98.6,82000
509999,280.0,120.0,60000
556000,115.0,83.1,24000
225000,140.0,70.0,120000
850000,259.9,126.2,84000
225000,190.0,74.0,50000
135000,62.0,46.3,50000
140000,84.0,67.0,49000
275000,72.0,53.3,14365
2750000,450.0,174.5,41000
484999,259.8,126.32,65000
565000,200.0,88.5,65000
425000,190.0,74.0,61083
925000,200.0,100.6,75000
565000,290.0,120.0,72000
525000,248.0,108.45,65000
295000,74.5,55.2,21000
1100000,151.0,121.3,10000
670000,113.0,81.8,7104
760000,154.9,121.3,55340
390000,160.0,63.12,61585
770000,190.0,74.0,64672
1150000,259.87,126.2,54634
775000,145.0,117.3,66521
2150000,400.0,187.74,43000
450000,200.0,83.8,1000
535000,259.9,126.2,52600
225000,145.0,103.3,110000
550000,113.75,81.86,19890
670000,113.0,81.8,7104
625000,130.0,93.7,11918
520000,114.0,82.0,10510
2600000,360.0,168.5,47162
229999,111.7,78.9,49824
1300000,380.0,174.33,58500
385000,250.0,108.5,52000
760000,154.9,121.3,55340
600000,190.0,74.0,46507
450000,200.0,83.8,1000
535000,259.9,126.2,52600
225000,145.0,103.3,110000
550000,113.75,81.86,19890
670000,113.0,81.8,7104
625000,130.0,93.7,11918
520000,114.0,82.0,10510
2600000,360.0,168.5,47162
229999,111.7,78.9,49824
1300000,380.0,174.33,58500
385000,250.0,108.5,52000
760000,154.9,121.3,55340
600000,190.0,74.0,46507
450000,200.0,83.8,1000
535000,259.9,126.2,52600
225000,145.0,103.3,110000
550000,113.75,81.86,19890
670000,113.0,81.8,7104
625000,130.0,93.7,11918
520000,114.0,82.0,10510
2600000,360.0,168.5,47162
1300000,380.0,174.33,58500
385000,250.0,108.5,52000
760000,154.9,121.3,55340
600000,190.0,74.0,46507
450000,200.0,83.8,1000
535000,259.9,126.2,52600
225000,145.0,103.3,110000
670000,113.0,81.8,7104
625000,130.0,93.7,11918
520000,114.0,82.0,10510
2600000,360.0,168.5,47162
229999,111.7,78.9,49824
1300000,380.0,174.33,58500
385000,250.0,108.5,52000
760000,154.9,121.3,55340
600000,190.0,74.0,46507
350000,113.7,82.85,50000
114999,69.0,47.3,30000
380000,113.7,82.85,50000
900000,280.0,120.0,35000
200999,108.0,79.4,90000
229999,59.0,34.2,11451
150000,160.0,65.0,172000
600000,190.0,74.0,60000
75000,51.0,37.48,29900
185000,190.0,74.0,85000
425000,290.0,120.0,50000
100000,135.0,71.0,120000
140000,90.0,67.1,90000
450000,109.0,86.7,7900
210000,72.0,53.64,50000
270000,90.0,67.05,25000
110000,62.0,46.3,20000
540000,113.0,81.8,17500
145000,11.0,75.0,25000
360000,320.0,138.1,206500
250000,99.04,68.05,88600
250000,320.0,147.9,100000
150000,160.0,67.0,186000
140000,110.0,74.9,60000
969999,400.0,153.86,30000
900000,247.0,105.0,15000
135000,90.0,67.1,90000
180000,59.0,37.0,120000
495000,259.8,126.32,100000
400000,20.4,102.0,138000
250000,24.0,110.0,110000
138000,90.0,67.1,120000
311000,146.0,118.0,70000
190000,69.0,47.3,70000
311000,180.0,63.0,140000
300000,114.0,85.8,15000
600000,110.0,88.7,20000
550000,290.0,120.0,100000
195000,69.0,47.3,5000
58000,51.0,37.48,27974
183000,69.0,47.3,40000
95000,84.0,64.0,80000
250000,84.0,67.0,38000
250000,84.0,67.0,38000
400000,140.0,88.7,35000
409999,259.8,126.32,60000
120000,210.0,66.0,120000
600000,113.0,81.8,18000
825000,330.0,140.0,90000
625000,170.0,67.05,80000
114999,62.0,46.3,60000
150000,84.0,67.0,53000
390000,259.8,126.32,86000
650000,200.0,83.8,100000
600000,180.4,71.0,30000
250000,11.4,80.0,120000
229999,96.1,62.1,60000
299000,190.0,73.94,50000
330000,327.0,147.9,124000
180000,124.6,93.7,100000
475000,113.75,81.86,42000
325000,160.0,70.0,100000
639000,145.0,117.3,28205
415000,90.0,67.04,32670
1199000,259.9,126.2,30093
699000,200.0,88.5,39503
325000,113.75,81.86,35299
269000,153.0,103.6,76259
399000,180.0,73.9,44049
475000,190.0,77.0,45087
254999,110.0,73.9,54206
665000,200.0,88.8,59110
265000,11.4,80.0,47564
211000,110.0,73.9,45143
55000,13.5,70.0,195000
550000,259.8,126.32,50000
500000,113.0,81.8,20000
140000,62.0,46.3,30000
325000,190.0,74.0,60000
210000,113.7,82.85,90000
110000,62.0,46.3,90000
1200000,259.87,126.2,25000
229999,69.0,47.3,40000
225000,145.0,103.3,110000
165000,69.0,47.3,132000
325000,74.5,55.2,20629
400000,114.0,82.0,30000
98000,59.0,37.0,54000
900000,330.0,140.0,63654
700000,200.0,83.8,60000
490000,190.0,74.0,59385
525000,114.7,81.83,70378
330000,90.0,67.07,55425
550000,195.0,62.1,78413
790000,195.0,70.0,40890
350000,109.0,86.8,34823
1700000,360.0,171.5,75000
750000,200.0,88.5,55545
220000,74.5,55.2,43700
68000,102.0,65.3,120000
600000,200.0,98.6,27483
470000,113.0,81.8,8000
150000,111.8,78.9,30000
180000,69.0,47.3,56207
80000,78.0,60.0,70000
300000,69.0,47.3,50000
2800000,450.0,174.5,20000
1330000,343.0,147.51,91195
250000,160.0,64.1,60000
919999,200.0,100.6,75000
450000,190.0,74.0,46000
550000,190.0,74.0,80000
320000,320.0,138.0,100000
400000,145.0,103.3,35000
450000,90.0,67.04,50000
220000,200.0,88.8,90000
400000,330.0,140.0,150000
530000,154.9,121.3,89000
390000,190.0,74.0,60000
185000,197.0,75.0,100000
300000,145.0,103.3,100000
575000,190.0,74.0,90000
300000,90.0,67.04,75000
425000,170.0,67.04,36000
350000,114.0,82.0,12000
550000,200.0,98.6,12997
300000,240.0,100.0,25000
1150000,259.87,126.2,26430
260000,90.0,67.05,28481
350000,170.0,123.37,100000
750000,330.0,140.0,41988
180000,90.0,67.05,30375
300000,90.0,67.0,28942
400000,195.0,70.0,50000
711000,330.0,140.0,53600
500000,130.0,93.7,25000
250000,20.4,102.0,80000
150000,69.0,47.3,50000
610000,280.0,120.0,15000
450000,115.0,82.0,5000
744000,219.7,88.73,106000
120000,90.3,62.0,100000
220000,72.0,53.3,60000
480000,200.0,88.8,120000
370000,90.0,67.04,82000
125000,74.5,55.2,205000
260000,259.9,126.3,125000
350000,197.0,75.0,130000
170000,69.0,47.3,97000
350000,114.0,82.0,90000
250000,114.0,85.8,60000
170000,140.0,70.0,60000
1300000,320.0,140.0,35000
550000,113.75,81.86,25000
400000,109.0,86.8,15000
120000,4.8,35.0,20000
120000,4.8,35.0,20000
275000,102.0,70.0,70000
900000,219.7,88.7,80000
2500000,619.0,254.8,79500
620000,259.8,126.32,70000
1700000,343.0,147.8,5000
650000,112.0,86.8,15000
500000,130.0,93.7,35000
250000,320.0,138.0,120000
320000,104.0,78.8,60000
450000,248.0,108.45,120000
400000,114.0,85.8,90000
200000,59.0,34.2,10000
250000,22.4,90.0,72000
85000,78.0,60.0,70000
1200000,400.0,153.86,50000
450000,154.9,121.3,60000
615000,113.0,81.8,40000
400000,200.0,88.8,60000
60000,51.0,37.48,40000
500000,113.0,81.8,9161
600000,145.0,117.3,45000
110000,11.8,82.9,110000
175000,96.1,62.1,80000
325000,204.0,90.0,100000
425000,190.0,74.0,90000
160000,12.5,94.0,70000
100000,90.0,67.1,80000
390000,190.0,74.0,110000
400000,114.7,81.83,50000
110000,96.1,62.1,120000
450000,200.0,84.8,80000
400000,114.7,81.83,38000
140000,96.1,62.1,120000
130000,140.0,70.0,90000
160000,69.0,47.3,50000
150000,69.0,47.3,60000
500000,330.0,140.0,100000
227000,160.0,65.0,70000
155000,62.0,46.3,19077
210000,74.5,55.2,30000
140000,62.0,46.3,80000
940000,200.0,100.6,128000
750000,248.0,108.5,80000
610000,190.0,74.0,100000
409999,170.0,67.06,56000
300000,91.0,67.0,10500
210000,111.8,78.9,60000
222000,90.0,67.07,70000
450000,170.0,67.06,70000
450000,200.0,83.8,1000
535000,259.9,126.2,52600
225000,145.0,103.3,110000
550000,113.75,81.86,19890
670000,113.0,81.8,7104
520000,114.0,82.0,10510
2600000,360.0,168.5,47162
229999,111.7,78.9,49824
1300000,380.0,174.33,58500
760000,154.9,121.3,55340
600000,190.0,74.0,46507
450000,200.0,83.8,1000
535000,259.9,126.2,52600
225000,145.0,103.3,110000
550000,113.75,81.86,19890
670000,113.0,81.8,7104
625000,130.0,93.7,11918
520000,114.0,82.0,10510
2600000,360.0,168.5,47162
229999,111.7,78.9,49824
1300000,380.0,174.33,58500
385000,250.0,108.5,52000
760000,154.9,121.3,55340
600000,190.0,74.0,46507
735000,320.0,138.03,55300
285000,200.0,88.8,74300
890000,250.0,108.6,40219
425000,101.0,73.0,8352
550000,114.0,82.0,9748
1490000,259.9,126.2,20694
490000,114.0,82.0,31080
260000,74.5,55.2,37605
455000,180.4,71.0,55850
75000,51.0,37.48,58850
421000,104.0,78.8,23839
550000,190.0,74.0,54000
390000,250.0,108.6,45454
599000,250.0,103.52,46957
250000,72.0,53.3,25000
600000,277.5,115.0,110000
2700000,380.0,181.0,25000
80000,11.0,75.0,90000
350000,90.0,67.05,5000
475000,190.0,74.0,60000
500000,190.0,74.0,50000
100000,187.0,82.0,120000
350000,90.0,67.1,5000
1900000,213.0,157.7,20000
409999,160.0,70.0,58000
1050000,360.0,152.87,35000
320000,90.0,67.05,30000
1000000,300.0,115.0,10000
1770000,343.0,147.8,25000
950000,247.0,105.0,20000
750000,190.0,74.0,50000
220000,74.5,55.2,42000
1000000,400.0,153.86,50000
716000,200.0,88.8,100000
675000,130.0,91.1,66000
385000,290.0,120.0,110000
325000,197.0,75.0,70000
400000,380.0,156.0,110000
250000,135.4,70.0,25000
210000,69.0,47.3,20000
147000,99.04,68.05,110000
725000,200.0,88.5,26350
550000,290.0,120.0,90000
475000,114.7,81.83,25000
250000,96.1,62.1,50000
160000,74.5,55.2,70000
1000000,380.0,153.86,90000
500000,113.75,81.86,26500
170000,140.0,70.0,60000
1300000,320.0,140.0,35000
1050000,219.7,88.7,10000
300000,114.0,85.8,15000
600000,114.7,81.83,25000
900000,259.87,126.2,50000
550000,113.75,81.86,25000
100000,62.0,46.3,52000
400000,109.0,86.8,15000
120000,4.8,35.0,20000
140000,13.5,70.0,60000
120000,4.8,35.0,20000
150000,62.0,46.3,60000
550000,112.0,86.8,35000
650000,330.0,140.0,71042
1025000,400.0,175.56,167870
195000,204.0,89.75,133564
1140000,145.0,117.6,23038
95000,150.0,57.6,70000
3050000,400.0,188.0,30000
550000,113.75,81.86,19890
625000,130.0,93.7,11918
520000,114.0,82.0,10510
2600000,360.0,168.5,47162
229999,111.7,78.9,49824
1300000,380.0,174.33,58500
585000,115.0,83.1,43608
725000,113.0,81.8,49217
300000,160.0,65.0,90000
375000,114.0,82.0,70000
375000,190.0,73.9,190000
1950000,470.0,197.0,106000
400000,320.0,138.03,80000
550000,200.0,83.8,80000
270000,101.0,73.0,20000
555000,200.0,88.8,110000
280000,94.14,68.05,28838
80000,102.0,65.3,200000
250000,69.0,47.3,50000
250000,180.0,63.0,190000
725000,280.0,120.0,135000
320000,180.0,63.0,50000
160000,150.0,57.6,50000
790000,200.0,98.6,19571
175000,113.0,81.8,70000
950000,200.0,88.5,15000
825000,240.0,108.45,13500
780000,200.0,98.63,25000
350000,173.0,138.1,80000
245000,69.0,47.3,60000
790000,200.0,98.63,49000
680000,109.0,86.7,48600
540000,114.0,82.0,20000
425000,115.0,82.0,25000
140000,8.6,64.9,120000
1100000,200.0,88.5,30000
1750000,380.0,174.33,127643
400000,140.0,88.7,54000
1750000,400.0,187.74,102354
950000,205.0,98.59,21394
310000,104.0,67.0,32686
490000,160.0,63.12,22000
480000,114.0,82.0,53261
370000,91.0,67.0,10000
835000,190.0,74.0,14000
670000,170.0,67.05,39895
950000,360.0,163.7,73000
250000,74.5,55.2,30000
509999,250.0,83.83,42000
520000,200.0,98.6,110000
130000,13.5,70.0,110000
950000,205.0,98.59,27620
450000,112.0,86.8,70000
320000,146.0,116.4,50000
480000,190.0,74.0,50000
790000,20.4,102.0,82000
120000,59.0,34.2,120000
75000,62.0,46.3,80000
99000,102.0,65.3,70000
250000,260.0,112.0,200000
520000,20.4,102.0,120000
1100000,259.87,126.2,30000
200000,20.4,102.0,223000
525000,190.0,74.0,60000
500000,114.7,81.83,40000
675000,200.0,75.0,161327
150000,111.7,78.9,60000
250000,180.0,63.0,50000
450000,113.75,81.86,6000
150000,9.8,63.0,68000
200000,150.0,57.6,85000
525000,290.0,120.0,70000
180000,190.0,75.0,100000
475000,200.0,98.6,110000
380000,290.0,120.0,195000
285000,69.0,47.3,46000
91200,62.0,46.3,60000
250000,72.0,53.64,46000
400000,160.0,70.0,42000
409999,259.8,126.32,120000
425000,204.0,89.84,72000
250000,77.0,58.16,71000
200000,114.0,85.8,110000
250000,77.0,58.16,71000
260000,101.0,73.0,30000
155000,144.15,113.42,65000
450000,200.0,98.6,38000
285000,69.0,47.3,30000
725000,110.0,88.76,26000
625000,130.0,91.1,30000
550000,114.73,81.86,23000
240000,111.7,78.9,40000
600000,200.0,83.8,27000
350000,320.0,138.1,65000
245000,74.5,55.2,32000
395000,114.0,85.8,52000
635000,130.0,93.7,13250
180000,62.0,46.3,36000
484999,190.0,74.0,73000
110000,62.0,46.3,60000
150000,90.0,67.1,60000
302000,200.0,83.8,60000
215000,190.0,73.9,90000
155000,90.0,67.1,80000
1000000,200.0,100.6,101000
550000,195.0,70.0,44000
750000,200.0,75.0,120000
90000,78.0,60.0,90000
80000,84.0,67.0,120000
229999,74.5,55.2,13500
350000,91.0,67.0,10000
325000,114.0,82.0,25000
450000,114.0,84.0,8500
250000,200.0,88.8,120000
225000,180.0,73.9,120000
150000,62.0,46.3,90246
110000,62.0,46.3,90000
150000,62.0,46.3,40000
610000,200.0,83.8,32000
375000,180.4,71.0,72000
390000,190.0,74.0,90000
600000,114.73,81.86,10000
204999,69.0,47.3,25000
270000,24.0,110.0,80000
375000,114.0,82.0,10000
700000,113.0,81.8,1100
455000,113.0,81.8,40000
375000,99.04,68.05,10000
341000,114.0,82.0,31491
200000,190.0,74.0,107143
450000,113.0,81.8,15000
170000,96.1,62.1,50000
1900000,343.0,147.8,100000
500000,195.0,70.0,60000
819999,200.0,88.5,85000
250000,190.0,73.9,82000
120000,84.0,64.0,70000
180000,90.0,66.1,70000
430000,190.0,77.0,20000
75000,48.0,35.0,35000
750000,218.0,93.7,80000
60000,4.8,35.0,40000
1500000,200.0,100.6,46412
390000,180.0,63.0,150000
630000,240.0,100.0,50000
1085000,400.0,153.86,15000
190000,111.7,78.9,60000
550000,115.0,83.1,25000
200000,69.0,47.3,90000
165000,90.3,62.0,60000
260000,160.0,68.1,65000
151000,62.0,46.3,40000
780000,200.0,88.5,50000
170000,135.4,70.0,107500
210000,135.4,70.0,135000
90000,62.0,46.3,43826
535000,114.73,81.86,55838
195000,190.0,74.0,112880
140000,190.0,75.0,90000
350000,134.0,97.7,40000
425000,154.9,121.3,66000
300000,91.0,67.0,30300
250000,114.0,85.8,80659
170000,127.0,92.7,81324
315000,200.0,98.6,127884
300000,200.0,98.6,66755
380000,146.0,116.3,123084
250000,11.5,88.2,806599
85000,110.0,85.0,60000
280000,69.0,47.3,15000
375000,104.0,67.0,20000
250000,150.0,57.6,110000
715000,205.0,87.2,234000
220000,22.4,90.0,70000
110000,190.0,75.0,110000
300000,200.0,84.8,170000
220000,72.0,53.64,40000
75000,90.0,67.1,96000
100000,13.5,70.0,20000
380000,112.0,86.8,15000
480000,250.0,160.0,80000
190000,150.0,57.6,70000
190000,160.0,68.0,130000
700000,215.0,98.63,29600
310000,99.04,68.05,35925
500000,113.0,81.8,12000
395000,90.0,67.04,30500
550000,248.0,108.45,66569
450000,230.0,88.65,82695
285000,160.0,68.0,68293
580000,110.0,88.7,32000
300000,190.0,74.0,190621
1200000,259.87,126.2,60000
78000,59.0,37.0,64700
65000,59.0,37.0,100000
400000,190.0,74.0,88470
450000,250.0,103.6,120000
3200000,450.0,174.5,57000
350000,69.0,47.3,1000
285000,240.0,100.0,120000
550000,200.0,88.5,90000
580000,250.0,108.62,70000
185000,200.0,90.0,60000
110000,59.0,34.2,90000
180000,13.1,100.0,200000
350000,180.0,73.9,110000
695000,240.0,100.0,70000
640000,180.0,63.0,70000
160000,69.0,47.3,90000
340000,190.0,74.0,110000
110000,151.5,73.92,80000
250000,250.0,83.83,90000
1300000,343.0,147.8,70000
250000,240.0,100.0,1
240000,84.0,67.0,70000
225000,180.0,63.0,120000
275000,90.0,67.04,60000
75000,62.0,46.3,120000
85000,102.0,65.3,50000
90000,135.0,71.0,120000
85000,84.0,67.0,80000
350000,277.5,115.0,80000
355000,320.0,138.1,100000
619000,113.0,81.8,1500
1700000,350.0,170.0,50000
300000,250.0,103.6,120000
1000000,320.0,138.1,80000
925000,200.0,88.76,50000
450000,180.0,63.0,40000
600000,200.0,75.0,13270
700000,182.5,63.0,50000
486000,113.75,81.86,26500
400000,190.0,74.0,90000
120000,16.3,68.0,100000
