torque,max_power,km_driven,selling_price
200.0,88.5,20000,940000
190.0,74.0,70000,520000
20.4,102.0,134000,570000
91.0,67.0,35000,320000
90.0,67.1,13000,220000
200.0,100.6,75000,925000
78.0,58.3,20000,430000
114.73,81.86,70000,590000
402.0,184.0,200000,850000
84.0,67.0,90000,200000
62.0,46.3,70000,135000
200.0,88.76,80000,270000
170.0,108.5,25000,625000
259.8,126.32,125000,736000
13.5,70.0,90000,140000
190.0,74.0,25000,600000
450.0,187.7,60000,2450000
205.0,98.96,35000,825000
215.0,99.0,35122,600000
90.0,67.04,12700,400000
91.0,67.0,20000,220000
180.0,63.0,168000,229999
172.5,73.74,40000,650000
140.0,88.7,90000,300000
259.9,126.2,55000,1300000
430.0,177.0,45000,3200000
20.4,102.0,240000,250000
343.0,171.0,120000,900000
400.0,190.0,7500,5400000
224.0,88.76,43000,811000
108.0,79.4,90000,200999
170.0,67.06,137250,345000
380.0,163.7,74000,550000
250.0,141.0,1600,1900000
195.0,62.1,70000,500000
204.0,89.84,101504,750000
78.0,60.0,60000,70000
190.0,74.0,47000,565000
130.0,91.1,33000,610000
146.0,118.0,90000,254999
84.0,67.0,75000,150000
140.0,70.0,84321,200000
170.0,67.1,120000,278000
90.0,67.05,53473,229999
90.0,67.05,60000,320000
200.0,98.6,121764,596000
300.0,181.04,16000,2700000
200.0,88.5,60000,575000
90.0,67.05,1100,250000
115.0,83.14,7967,600000
200.0,88.5,43000,850000
113.7,82.85,70000,375000
145.0,117.3,35000,500000
138.0,103.0,6200,700000
320.0,138.1,120000,300000
290.0,120.0,90000,450000
115.0,83.1,25000,800000
330.0,140.0,100000,810000
120.0,94.93,13000,690000
180.0,63.0,90000,350000
259.9,126.2,73500,1000000
24.0,110.0,120000,195000
145.0,117.3,43000,700000
90.3,63.0,110000,60000
90.0,67.04,23999,411000
277.5,115.0,110000,500000
117.0,81.86,3500,650000
146.0,118.0,25000,800000
135.0,69.0,175000,200000
72.0,53.3,25000,225000
200.0,88.5,120000,940000
205.0,98.96,40000,869999
90.0,67.07,50000,400000
113.0,81.8,90000,370000
220.0,95.0,140000,395000
59.0,37.0,60000,50000
205.0,98.96,35000,950000
190.0,74.0,44885,751000
135.4,70.0,100000,150000
90.0,67.04,80000,390000
250.0,103.6,120000,320000
135.0,69.0,30000,150000
330.0,140.0,80000,750000
84.0,64.0,70000,120000
290.0,120.0,150000,349000
114.73,81.86,68523,560000
200.0,98.6,120000,600000
90.0,67.04,48000,350000
62.0,46.3,40000,150000
200.0,100.6,79328,750000
215.0,99.0,113000,430000
116.0,88.8,80868,200000
360.0,152.87,60000,1500000
24.0,110.0,61000,175000
360.0,155.0,25000,1400000
330.0,140.0,80000,850000
9.8,63.0,100000,150000
280.0,120.0,60000,509999
153.0,103.5,11000,645000
84.0,67.0,50000,145000
140.0,88.7,25000,400000
160.0,63.12,22000,490000
74.5,55.2,70000,160000
110.0,88.7,20000,600000
90.3,62.0,90000,134000
200.0,98.6,150000,300000
320.0,138.1,80000,450000
16.1,125.0,90000,135000
72.0,53.3,20000,300000
69.0,47.3,40000,270000
151.5,73.92,52895,260000
51.0,37.48,90000,60000
240.0,100.0,67000,660000
190.0,73.9,70000,380000
20.4,102.0,350000,350000
190.24,73.97,25000,465000
195.0,70.0,35000,860000
59.0,37.0,36088,55599
200.0,88.5,40000,750000
200.0,83.8,60000,700000
84.0,67.0,52000,126000
69.0,47.3,100000,220000
320.0,138.03,120000,400000
190.0,74.0,35000,660000
320.0,138.1,90000,220000
150.0,57.6,66000,305000
114.7,81.83,45900,490000
219.66,88.76,42323,651000
380.0,174.33,34000,1470000
205.0,98.59,175000,530000
115.0,83.1,40000,619000
305.0,123.7,119000,300000
250.0,108.6,5400,1350000
130.0,93.7,35000,500000
200.0,83.8,1000,450000
200.0,98.63,49000,790000
200.0,88.5,9850,1025000
219.7,88.7,27000,1050000
90.0,67.04,25000,411000
84.0,67.0,90000,180000
190.0,74.0,131111,595000
109.0,86.7,15780,570000
180.0,63.0,80000,380000
400.0,190.0,20000,3800000
174.0,139.46,24857,2000000
320.0,138.1,206500,360000
250.0,103.6,77000,400000
114.0,84.0,45775,252999
72.0,53.3,40000,300000
91.0,67.0,25000,400000
90.0,67.0,52000,400000
151.5,73.92,133000,350000
343.0,168.5,20000,2000000
77.0,58.16,80000,325000
160.0,68.0,80000,200000
250.0,103.6,80000,280000
200.0,97.9,82000,975000
59.0,34.2,20000,250000
146.0,116.3,83000,550000
59.0,37.0,60000,65000
98.0,45.0,50000,400000
12.5,94.0,120000,110000
180.0,63.0,132478,150000
115.0,68.0,120000,150000
380.0,181.0,36000,2575000
99.04,68.05,50000,250000
99.04,68.05,100000,287000
78.0,60.0,30000,75000
400.0,190.0,7500,5400000
113.0,81.8,5621,650000
62.0,46.3,100000,90000
62.0,46.3,120000,95000
84.0,67.0,67000,175000
620.0,261.4,28156,6000000
114.0,85.8,60000,240000
190.0,73.9,120000,350000
114.0,85.8,20000,280000
149.0,120.69,6001,640000
259.9,126.3,100000,450000
173.0,138.1,7000,1450000
172.5,73.8,195000,275000
22.4,90.0,120000,300000
109.0,86.7,50000,390000
400.0,153.86,34000,1350000
380.0,174.33,58500,1300000
20.4,102.0,248119,409999
240.0,100.0,50000,630000
115.0,83.1,21147,775000
250.0,108.5,110000,400000
180.0,63.0,100000,250000
250.0,108.62,25000,800000
330.0,141.0,110000,400000
20.4,102.0,250000,425000
190.0,74.0,23000,550000
113.0,81.8,69779,600000
114.0,84.0,15000,525000
250.0,160.0,22000,1450000
190.0,77.0,130000,400000
90.0,67.05,11000,175000
114.7,81.83,30000,630000
200.0,83.8,82000,500000
62.0,46.3,80000,140000
110.0,88.7,30000,780000
150.0,57.6,70000,173000
101.0,73.0,5500,359000
170.0,108.5,15000,790000
154.9,121.3,55340,760000
114.0,85.8,40000,320000
160.0,68.1,230000,229999
430.0,177.0,9000,2711000
160.0,68.05,87237,225000
130.0,93.7,11918,625000
380.0,174.33,22000,2825000
205.0,98.96,97000,550000
190.0,75.0,120000,265000
90.0,67.05,27289,375000
200.0,100.6,79328,750000
180.0,73.9,90000,295000
114.7,81.83,2388,730000
111.8,78.9,20000,265000
102.0,70.0,85000,300000
200.0,88.5,70000,730000
102.0,70.0,110000,130000
135.4,70.0,65000,185000
62.0,46.3,95000,135000
195.0,62.1,120000,550000
114.0,85.8,90000,400000
113.0,81.8,40000,400000
205.0,98.59,110000,650000
248.0,108.45,100000,450000
190.24,73.97,78000,409999
140.0,88.7,24177,400000
90.0,67.04,40000,350000
22.4,90.0,110000,350000
202.0,214.56,20000,5150000
114.73,81.86,10000,600000
200.0,84.8,70000,500000
219.7,88.73,53000,575000
111.7,78.9,49824,229999
343.0,147.51,20102,1560000
280.0,120.0,54470,950000
226.0,187.4,52000,1650000
190.25,73.97,60000,530000
360.0,168.5,47162,2600000
74.5,55.2,65000,195000
200.0,88.5,120000,795000
113.0,81.8,25000,700000
160.0,68.1,104300,275000
90.0,67.0,35000,440000
190.0,74.0,68000,501000
200.0,88.76,80000,250999
59.0,37.0,70000,65000
113.0,81.8,9654,894999
110.0,88.76,7032,779000
219.6,88.76,110000,380000
10.7,70.0,4637,61000
20.4,102.0,170000,561000
200.0,98.6,72000,560000
190.0,73.9,120000,225000
77.0,58.16,70000,459999
195.0,62.1,100000,500000
170.0,67.04,25000,450000
12.7,78.0,120000,138000
190.0,74.0,155000,420000
72.0,53.3,45000,240000
400.0,190.0,7500,5400000
190.24,73.97,10000,700000
114.7,81.83,25000,630000
190.0,75.0,100000,290000
135.0,71.0,90000,275000
200.0,100.6,120000,1100000
62.0,46.3,100000,90000
20.4,102.0,230000,800000
114.0,85.8,15000,300000
172.5,73.8,70000,380000
250.0,103.6,131000,280000
200.0,88.5,48000,745000
204.0,89.75,92000,199000
153.0,103.2,64000,390000
115.0,82.0,20000,327000
111.7,78.9,90000,170000
114.0,82.0,45457,550000
200.0,98.6,44000,600000
200.0,83.8,27000,600000
114.7,81.83,20000,655000
170.0,108.5,5000,537000
330.0,138.0,40000,1350000
90.0,67.1,31000,260000
160.0,67.0,101100,110000
190.0,74.0,158000,360000
140.0,69.0,35000,450000
135.0,69.0,150000,200000
102.0,70.0,25000,290000
109.0,86.8,85962,300000
259.8,126.32,80000,480000
59.0,34.2,120000,120000
219.7,88.8,80000,350000
200.0,88.5,16200,650000
190.0,74.0,100000,525000
96.1,62.1,90000,200000
400.0,153.86,16400,1200000
111.8,78.9,30000,150000
190.0,74.0,36000,670000
180.0,63.0,60000,600000
72.0,53.3,15000,310000
90.0,67.04,39000,380000
114.7,81.83,20000,645000
145.0,117.3,20000,500000
200.0,75.0,120000,750000
96.1,62.1,77000,150000
14.9,103.2,54309,220000
145.0,117.3,15000,950000
213.0,157.7,68089,2000000
195.0,62.1,136511,570000
400.0,190.0,20000,3800000
114.73,81.86,15000,750000
300.0,183.0,70000,2000000
6.1,35.0,70000,160000
90.0,67.05,58343,225000
114.7,81.83,9000,785000
84.0,67.0,70000,100000
140.0,69.0,110000,420000
113.0,81.8,25000,600000
102.0,65.3,300000,75000
205.0,76.9,80000,200000
110.0,73.9,100000,400000
180.0,73.9,75000,400000
114.0,82.0,96000,300000
160.0,68.0,70000,180000
350.0,170.0,80000,1675000
135.4,70.0,185000,140000
132.0,88.73,25538,625000
153.0,103.5,11000,645000
259.9,126.3,125000,475000
77.0,58.16,71000,250000
59.0,37.0,40000,35000
170.0,67.06,50000,425000
145.0,117.6,5000,1227000
114.0,85.8,50000,400000
160.0,63.1,50000,250000
113.0,81.8,15000,500000
149.0,120.69,6000,650000
160.0,67.0,93500,350000
114.0,84.0,40000,600000
113.75,81.86,4701,550000
90.0,67.04,3700,425000
153.0,103.5,11000,645000
90.0,67.0,24000,420000
215.0,98.96,16034,950000
124.5,93.7,48000,275000
14.3,70.0,120000,50000
195.0,62.1,110000,540000
77.0,58.2,137000,200000
170.0,123.37,100000,350000
360.0,155.0,32000,1700000
11.5,88.2,80000,220000
111.8,78.9,60000,215000
90.0,67.1,64000,290000
400.0,187.74,50000,1735000
200.0,83.14,48000,850000
115.0,83.1,10000,550000
280.0,120.0,60000,1000000
101.0,73.0,110000,190000
190.0,75.0,150000,250000
343.0,147.8,100000,1900000
153.0,103.5,11000,645000
111.7,78.9,110000,190000
146.0,118.0,98000,360000
190.0,73.9,193000,320000
113.0,81.8,24522,600000
114.0,82.0,75000,300000
142.5,56.3,40000,200000
90.0,67.1,90000,165000
113.0,81.8,20000,720000
24.0,110.0,121000,245000
171.0,72.4,120000,620000
111.7,78.9,56000,270000
90.0,67.05,90000,70000
200.0,120.7,42000,1250000
320.0,138.1,80000,300000
113.75,81.86,50000,500000
114.73,81.86,25000,700000
59.0,37.0,50000,55000
327.0,147.9,90000,440000
59.0,34.2,34000,215000
142.5,56.3,60000,215000
62.0,46.3,90000,65000
90.3,62.0,40000,150000
400.0,190.0,8500,5500000
250.0,108.6,40219,890000
190.25,73.97,31000,620000
59.0,37.0,80000,125000
321.0,139.01,13000,1050000
170.0,108.5,15000,790000
220.0,88.73,108000,600000
91.0,67.0,90000,265000
146.0,118.0,110000,350000
250.0,103.6,97000,215000
190.0,74.0,46507,600000
200.0,75.0,70000,600000
154.9,121.3,38000,190000
320.0,138.1,80000,320000
219.6,88.76,22700,425000
200.0,88.8,97000,260000
135.4,70.0,120000,120000
140.0,69.0,90000,300000
220.0,95.0,120000,300000
96.1,62.1,49000,290000
200.0,98.6,19571,790000
190.0,74.0,38817,740000
115.0,83.1,9000,740000
74.5,55.2,80000,229999
190.0,74.0,20000,750000
200.0,98.6,38000,450000
300.0,121.0,10000,1450000
200.0,88.5,40000,850000
115.0,83.1,25000,550000
190.0,74.0,120000,225000
145.0,104.68,125876,250000
90.0,67.05,20000,300000
109.0,86.8,33033,335000
109.0,86.8,50000,300000
90.0,67.05,38000,350000
72.0,53.0,80000,229999
136.0,110.4,40000,550000
190.0,74.0,168000,240000
250.0,141.0,16500,1700000
190.0,74.02,30000,750000
108.0,79.4,70000,200000
90.0,67.04,20000,350000
200.0,90.0,120000,180000
117.0,81.86,10000,721000
350.0,170.0,60000,1689999
74.5,55.2,40000,150000
138.0,103.2,15000,1000000
205.0,98.59,40000,600000
215.0,99.0,70000,350000
99.04,68.05,80000,225000
90.0,67.1,80000,265000
146.0,118.0,47000,434999
190.0,74.0,120000,580000
69.0,47.3,25000,250000
200.0,88.76,14000,750000
195.0,70.0,60000,750000
59.0,34.2,9000,260000
78.0,60.0,80000,65000
74.5,55.2,32000,245000
102.0,65.3,120000,68000
320.0,138.1,140000,229999
190.0,74.02,50000,700000
90.0,66.1,70000,130000
330.0,140.0,90000,825000
69.0,47.3,50000,235000
74.5,55.2,55766,150000
150.0,57.6,70000,95000
72.0,53.3,40000,350000
200.0,88.8,60000,600000
25.5,105.0,120000,350000
320.0,147.94,50000,650000
101.0,73.0,72000,310000
110.0,88.7,25000,650000
110.0,73.9,62000,375000
151.0,121.3,27000,1200000
112.0,86.8,60000,350000
84.0,67.0,38000,250000
90.0,67.1,80000,160000
330.0,140.0,60000,750000
200.0,88.8,167000,200000
113.75,81.86,3917,550000
250.0,103.5,80000,290000
113.0,81.8,60000,550000
180.0,63.0,183000,370000
111.7,78.9,49824,229999
110.0,88.76,7032,779000
205.0,98.96,76139,850000
90.0,67.05,27000,360000
209.0,91.7,60000,360000
115.0,82.0,60000,370000
113.75,81.86,40000,480000
280.0,120.0,80000,1050000
140.0,70.0,120000,130000
215.0,152.0,120000,325000
113.0,85.0,50000,200000
200.0,83.8,40000,570000
101.0,73.0,120000,400000
90.0,67.1,43000,210000
210.0,66.0,120000,120000
190.0,74.0,60000,490000
113.0,81.8,18000,600000
114.0,84.0,30000,535000
12.7,78.0,120000,180000
250.0,105.0,60000,400000
160.0,65.0,50000,250000
195.0,62.1,30000,550000
69.0,47.3,30000,300000
90.0,67.04,93000,430000
140.0,70.0,230000,200000
113.0,81.8,10000,490000
114.0,82.0,30000,511000
110.0,73.75,7949,579000
104.0,67.0,32686,310000
113.0,81.8,5500,749000
99.04,68.05,9750,420000
72.0,53.3,20000,300000
333.0,161.0,121000,1160000
150.0,57.6,120000,180000
90.0,67.1,70000,70000
200.0,97.9,25000,1044999
4.8,35.0,20000,120000
154.9,121.3,50000,500000
115.0,82.0,25000,425000
180.0,63.0,90000,300000
400.0,190.0,21000,5800000
200.0,88.5,24000,785000
190.24,73.97,56290,450000
219.7,88.73,40000,875000
180.0,63.0,80000,550000
195.0,70.0,25000,900000
290.0,120.0,110000,300000
200.0,70.0,80000,722000
330.0,140.0,85036,900000
330.0,140.0,25000,1350000
90.0,67.1,20000,175000
380.0,174.33,53000,1150000
90.0,67.04,25000,400000
219.7,88.73,106000,744000
115.0,82.0,51492,340000
200.0,88.5,90000,800000
78.0,60.0,79000,105000
190.0,74.0,120000,425000
215.0,98.63,26000,836000
330.0,141.0,93415,400000
250.0,141.0,19000,1750000
200.0,88.5,110000,610000
190.25,73.97,60000,530000
259.9,126.2,74000,750000
205.0,98.59,93283,600000
62.0,46.3,90000,135000
112.0,86.8,80000,565000
140.0,69.0,2000,670000
245.0,108.5,65000,880000
25.5,105.0,312000,350000
74.5,55.2,42130,250000
135.4,70.0,120000,110000
106.5,76.8,30000,310000
99.04,68.05,120000,130000
135.0,71.0,30000,150000
6.1,35.0,32000,280000
90.0,67.05,74381,400000
190.0,74.02,10000,754000
150.0,57.6,40000,250000
74.5,55.2,60000,250000
11.5,88.2,136000,220000
320.0,147.94,110000,503000
74.5,55.2,40800,300000
77.0,58.2,70000,231000
343.0,171.0,120000,975000
20.4,102.0,120000,750000
430.0,177.0,9000,2625000
250.0,198.25,70000,525000
180.4,71.0,120000,509999
190.0,74.0,38817,740000
59.0,37.0,51000,100000
13.1,100.0,120000,125000
350.0,170.0,87500,1550000
190.0,74.0,60000,175000
190.0,73.94,100000,300000
101.0,73.0,80000,170000
99.04,68.05,20000,360000
190.0,74.02,50000,740000
190.0,75.0,100000,260000
62.0,46.3,75118,150000
84.0,67.0,70000,150000
62.0,46.3,40000,75000
114.0,85.8,160000,275000
172.5,73.74,80000,525000
330.0,140.0,100000,500000
85.0,52.8,120000,90000
12.7,78.0,110000,165000
90.0,67.04,35000,300000
128.0,86.0,70000,350000
160.0,68.0,100000,210000
135.0,69.01,65000,221000
204.0,89.84,63356,580000
190.0,74.0,65000,700000
360.0,152.87,50000,1100000
114.0,84.0,17563,434999
101.0,73.0,100000,204999
260.0,112.0,130000,150000
10.2,65.3,110000,170000
69.0,47.3,65000,260000
200.0,98.6,120000,490000
190.0,75.0,176062,400000
200.0,98.6,15000,1035000
170.0,67.06,120000,325000
200.0,88.76,92000,500000
190.0,75.0,117000,279000
74.5,55.2,75000,225000
113.75,81.86,40000,525000
200.0,83.8,35000,800000
110.0,88.7,56494,550000
140.0,69.0,70000,310000
16.0,68.0,100000,150000
59.0,37.0,70000,40000
190.0,74.0,90000,425000
59.0,37.0,72539,45000
200.0,98.6,35000,525000
320.0,138.1,120000,425000
400.0,190.0,20000,3800000
197.0,75.0,95000,125000
400.0,190.0,20000,3800000
240.0,100.0,120000,300000
190.0,74.0,87000,400000
222.0,177.6,57035,350000
90.0,67.05,70000,70000
120.0,94.68,10000,681000
200.0,88.5,70000,800000
204.0,89.84,68609,515000
114.7,81.83,35000,576000
190.0,74.0,67000,650000
117.0,81.86,25000,800000
224.0,88.76,10000,850000
59.0,37.0,59400,70000
135.0,71.0,120000,125000
78.0,60.0,90000,90000
72.0,53.26,21900,360000
290.0,120.0,120000,290000
171.0,72.4,50000,500000
114.0,84.0,25000,438999
112.0,86.8,12586,700000
200.0,88.8,90000,650000
153.0,103.5,11000,645000
247.0,105.0,50000,585000
190.0,74.0,110000,525000
96.0,57.0,20000,70000
62.0,38.4,82300,150000
259.8,126.32,87000,500000
125.0,47.0,120000,350000
200.0,88.8,105000,350000
135.4,70.0,135000,210000
330.0,140.0,22522,1025000
172.0,130.0,100000,375000
90.0,67.04,80000,300000
190.0,73.9,120000,310000
200.0,100.0,80000,800000
114.0,82.0,20000,400000
110.0,88.7,50000,575000
173.0,138.03,50000,1100000
116.0,90.0,50000,200000
190.0,73.9,70000,200000
99.04,68.05,88600,250000
111.8,78.9,60000,210000
90.0,67.04,60000,351000
74.5,55.2,60000,190000
215.0,98.96,92651,599000
160.0,68.0,180000,175000
190.0,74.0,170000,400000
160.0,68.0,89741,280000
153.0,103.5,29000,409999
219.6,88.76,60000,459999
200.0,88.7,60000,280000
400.0,190.0,30000,2150000
110.0,73.9,80000,415000
114.7,81.83,6000,700000
22.4,90.0,105000,270000
200.0,88.5,36500,910000
330.0,140.0,90000,650000
90.0,67.04,84000,330000
151.0,121.3,23000,1035000
180.0,73.9,115000,320000
190.0,74.0,40000,250000
190.0,74.02,60000,455000
200.0,88.5,50000,800000
135.0,70.0,90000,175000
200.0,88.76,70000,650000
110.0,88.76,7032,779000
109.0,86.7,1303,690000
400.0,190.0,20000,3800000
62.0,46.3,70000,150000
91.0,67.0,7000,310000
111.8,78.9,70000,215000
340.0,162.0,70000,900000
200.0,88.5,84000,650000
300.0,118.0,5500,2125000
190.0,73.94,70000,300000
108.5,82.4,13500,450000
190.0,74.0,80000,325000
111.8,78.9,35000,280000
74.5,55.2,47000,215000
259.87,126.24,120000,615000
190.0,74.0,38817,740000
190.0,74.0,50000,475000
84.0,67.0,50000,135000
280.0,120.0,30000,1250000
90.0,67.1,68000,145000
280.0,120.0,79500,800000
113.75,81.86,15000,488999
190.0,74.0,90000,400000
160.0,67.0,120000,110000
280.0,120.0,60000,825000
130.0,93.7,90000,600000
113.0,84.48,33928,490000
200.0,98.6,12997,550000
195.0,70.0,40890,790000
247.0,105.0,26000,800000
219.7,88.73,77000,530000
74.5,55.2,60000,200000
59.0,37.0,42108,39000
259.9,126.2,80000,899000
90.0,67.05,60000,80000
380.0,174.33,58500,1300000
205.0,98.59,63000,600000
90.0,67.1,55000,180000
180.0,73.9,82000,200000
219.7,88.73,30000,650000
180.0,73.9,222300,220000
69.0,47.3,56207,180000
62.0,46.3,90000,120000
72.0,53.64,37500,229999
245.0,108.45,26000,950000
330.0,140.0,60000,1250000
145.0,117.6,35000,950000
259.8,126.32,150000,522000
20.0,144.0,60000,200000
84.0,67.0,100000,225000
180.0,63.0,51000,585000
209.0,91.7,110000,275000
400.0,170.0,91500,1925000
200.0,83.8,75976,400000
190.0,74.0,46507,600000
99.04,68.05,15000,425000
90.0,55.23,60000,155000
171.6,118.35,3500,1125000
160.0,68.1,65000,260000
245.0,108.45,80000,550000
113.75,81.86,30000,450000
90.0,67.1,62900,135000
200.0,88.5,40000,720000
200.0,88.76,110000,545000
320.0,147.9,99500,500000
90.0,67.1,139000,246000
132.0,88.73,25538,625000
69.0,47.3,32000,315000
69.0,47.3,15000,280000
90.0,67.1,77000,180000
114.0,82.0,25000,550000
190.0,73.9,150000,250000
290.0,120.0,120000,120000
114.7,81.83,25000,600000
180.0,63.0,110000,500000
190.0,74.0,160000,340000
259.9,126.2,40000,1300000
142.5,56.3,90000,185000
200.0,98.6,93000,570000
111.8,78.9,94000,210000
135.0,69.01,68745,225000
153.0,103.6,60000,400000
259.8,126.32,60000,450000
160.0,70.0,110000,400000
200.0,98.6,90000,700000
84.0,67.0,70000,142000
36.6,140.0,120000,585000
180.0,73.9,60000,290000
200.0,88.5,50000,760000
110.0,88.7,11473,385000
290.0,120.0,110000,520000
200.0,88.5,60000,780000
113.7,82.85,120000,345000
305.0,123.7,25000,300000
320.0,138.03,60000,600000
91.0,67.0,16500,325000
290.0,120.0,260000,550000
113.0,81.8,5621,650000
200.0,88.8,110000,300000
134.0,97.7,9000,450000
320.0,147.94,110000,503000
210.0,66.0,116000,90000
140.0,70.0,120000,225000
108.5,82.5,22255,280000
117.0,81.86,3000,720000
146.0,116.3,42462,480000
219.7,88.73,14000,800000
110.0,88.76,4500,700000
190.0,75.0,110000,110000
200.0,100.6,88000,1019999
250.0,108.6,40219,890000
190.0,74.0,60000,539000
219.66,88.76,30000,750000
190.0,75.0,100000,180000
219.7,88.73,39000,800000
109.0,86.7,15000,430000
16.0,65.0,187000,180000
200.0,88.8,120000,600000
200.0,98.6,90000,675000
250.0,103.5,90000,380000
200.0,88.5,70000,600000
140.0,69.0,110000,200000
400.0,190.0,7500,5400000
135.3,105.5,25000,500000
160.0,70.0,91500,425000
90.0,67.1,90000,90000
130.0,92.0,80000,130000
62.0,46.3,90000,170000
90.0,67.05,62009,90000
62.0,46.3,70000,150000
259.87,126.24,120000,700000
320.0,138.1,80000,320000
170.0,108.5,28000,595000
180.0,73.9,70000,229999
74.5,55.2,10000,325000
140.0,69.01,155000,385000
250.0,83.83,300000,275000
115.0,83.1,25339,562000
96.0,65.0,48000,300000
102.0,65.3,110000,65000
320.0,138.1,52000,850000
145.0,117.3,43000,700000
343.0,147.8,70000,1300000
190.0,73.9,80000,190000
110.0,85.0,60000,85000
151.0,121.3,5000,1149000
200.0,88.5,90000,620000
320.0,147.94,100000,850000
90.0,67.1,100000,160000
113.75,81.86,2500,600000
190.0,74.0,60000,615000
400.0,170.0,80000,725000
320.0,138.1,68240,450000
111.8,78.9,45000,300000
