Present_Price,max_power,torque,engine,year,seller_type_encoded,fuel_encoded,transmission_encoded,km_driven,mileage,selling_price
676000.0,,,,2014,0,4,1,40000,,475000.0
1861000.0,,,,2009,0,4,1,62000,,380000.0
1370000.0,,,,2005,0,4,1,75000,,351000.0
3061000.0,,,,2015,0,1,0,40000,,2300000.0
2278000.0,,,,2008,0,4,0,89000,,400000.0
1861000.0,,,,2012,0,4,1,72000,,585000.0
2539000.0,,,,2016,0,1,0,29000,,2075000.0
1864000.0,,,,2017,0,4,1,8700,,1700000.0
1861000.0,,,,2013,0,4,1,45000,,705000.0
2045000.0,,,,2010,0,1,1,50024,,965000.0
190000.0,,,,2016,1,4,1,3000,,175000.0
182000.0,,,,2017,1,4,1,1400,,170000.0
178000.0,,,,2017,1,4,1,4000,,165000.0
160000.0,,,,2017,1,4,1,1200,,145000.0
147000.0,,,,2017,1,4,1,4100,,135000.0
237000.0,,,,2015,1,4,1,21700,,135000.0
345000.0,,,,2014,1,4,1,16500,,135000.0
150000.0,,,,2013,1,4,1,15000,,125000.0
150000.0,,,,2016,1,4,1,18000,,120000.0
147000.0,,,,2017,1,4,1,11000,,120000.0
178000.0,,,,2016,1,4,1,6000,,120000.0
150000.0,,,,2016,1,4,1,8700,,114999.99999999999
240000.0,,,,2014,1,4,1,7000,,114999.99999999999
140000.0,,,,2016,1,4,1,35000,,114999.99999999999
147000.0,,,,2015,1,4,1,17500,,111000.00000000001
147000.0,,,,2013,1,4,1,33000,,110000.00000000001
190000.0,,,,2015,1,4,1,14000,,110000.00000000001
147000.0,,,,2015,1,4,1,26000,,110000.00000000001
190000.0,,,,2013,1,4,1,5400,,105000.0
126000.0,,,,2016,1,4,1,5700,,105000.0
150000.0,,,,2011,1,4,1,6900,,105000.0
117000.0,,,,2016,1,4,1,6000,,105000.0
147000.0,,,,2013,1,4,1,46500,,100000.0
175000.0,,,,2012,1,4,1,11500,,95000.0
175000.0,,,,2009,1,4,1,40000,,90000.0
95000.0,,,,2017,1,4,1,1300,,90000.0
80000.0,,,,2016,1,4,1,7000,,75000.0
87000.0,,,,2017,1,4,1,3000,,80000.0
84000.0,,,,2017,1,4,1,5000,,78000.0
87000.0,,,,2017,1,4,1,11000,,75000.0
82000.0,,,,2015,1,4,1,18000,,75000.0
95000.0,,,,2017,1,4,1,3500,,75000.0
95000.0,,,,2016,1,4,1,500,,72000.0
81000.0,,,,2017,1,4,1,11800,,65000.0
74000.0,,,,2015,1,4,1,5000,,65000.0
78700.0,,,,2013,1,4,1,16000,,65000.0
87000.0,,,,2016,1,4,1,15000,,60000.0
95000.0,,,,2015,1,4,1,16600,,60000.0
120000.0,,,,2013,1,4,1,32000,,60000.0
80000.0,,,,2016,1,4,1,20000,,60000.0
84000.0,,,,2015,1,4,1,29000,,60000.0
84000.0,,,,2016,1,4,1,25000,,60000.0
99000.0,,,,2014,1,4,1,25000,,60000.0
81000.0,,,,2012,1,4,1,19000,,60000.0
78700.0,,,,2014,1,4,1,15000,,55000.00000000001
84000.0,,,,2015,1,4,1,58000,,55000.00000000001
94000.0,,,,2010,1,4,1,45000,,52000.0
94000.0,,,,2016,1,4,1,24000,,51000.0
82600.0,,,,2011,1,4,1,6000,,50000.0
55000.00000000001,,,,2016,1,4,1,31000,,50000.0
99000.0,,,,2012,1,4,1,13000,,50000.0
99000.0,,,,2013,1,4,1,45000,,50000.0
88000.0,,,,2014,1,4,1,8000,,50000.0
51000.0,,,,2017,1,4,0,4300,,48000.0
52000.0,,,,2017,1,4,1,15000,,48000.0
84000.0,,,,2015,1,4,1,23000,,48000.0
54000.0,,,,2017,1,4,1,8600,,48000.0
51000.0,,,,2017,1,4,0,4000,,45000.0
95000.0,,,,2011,1,4,1,24000,,45000.0
82600.0,,,,2014,1,4,1,23000,,45000.0
99000.0,,,,2012,1,4,1,14500,,45000.0
95000.0,,,,2010,1,4,1,27000,,45000.0
54000.0,,,,2016,1,4,1,14000,,45000.0
54000.0,,,,2016,1,4,0,500,,45000.0
55000.00000000001,,,,2016,1,4,1,1000,,45000.0
81000.0,,,,2014,1,4,1,42000,,42000.0
73000.0,,,,2013,1,4,1,12000,,42000.0
54000.0,,,,2015,1,4,1,14000,,40000.0
83000.0,,,,2012,1,4,1,5500,,40000.0
55000.00000000001,,,,2015,1,4,1,6700,,40000.0
64000.0,,,,2014,1,4,1,13700,,40000.0
51000.0,,,,2017,1,4,0,1300,,40000.0
78700.0,,,,2011,1,4,1,75000,,38000.0
105000.0,,,,2011,1,4,1,30000,,35000.0
56999.99999999999,,,,2016,1,4,0,24000,,35000.0
52000.0,,,,2014,1,4,0,19000,,35000.0
105000.0,,,,2010,1,4,1,213000,,31000.0
51000.0,,,,2012,1,4,1,60000,,30000.0
48000.0,,,,2016,1,4,1,50000,,30000.0
57999.99999999999,,,,2013,1,4,1,30000,,30000.0
47000.0,,,,2013,1,4,1,21000,,27000.0
75000.0,,,,2008,1,4,1,26000,,25000.0
57999.99999999999,,,,2008,1,4,0,1900,,25000.0
51000.0,,,,2013,1,4,1,32000,,25000.0
56999.99999999999,,,,2013,1,4,1,18000,,25000.0
56999.99999999999,,,,2005,1,4,1,55000,,20000.0
75000.0,,,,2008,1,4,1,60000,,20000.0
56999.99999999999,,,,2012,1,4,1,25000,,20000.0
75000.0,,,,2007,1,4,1,49000,,20000.0
65000.0,,,,2013,1,4,1,24000,,20000.0
78700.0,,,,2008,1,4,1,50000,,20000.0
32000.0,,,,2015,1,4,1,35000,,18000.0
52000.0,,,,2008,1,4,0,500000,,17000.0
51000.0,,,,2010,1,4,1,33000,,16000.0
56999.99999999999,,,,2011,1,4,1,35000,,15000.0
57999.99999999999,,,,2007,1,4,1,53000,,12000.0
75000.0,,,,2006,1,4,1,92233,,10000.0
679000.0,,,,2010,0,1,1,58000,,325000.0
570000.0,,,,2015,0,4,1,28200,,440000.00000000006
459999.99999999994,,,,2011,0,4,1,53460,,295000.0
443000.0,,,,2015,0,4,1,28282,,275000.0
570000.0,,,,2016,0,4,1,3493,,525000.0
713000.0,,,,2017,0,4,1,12479,,575000.0
810000.0,,,,2017,0,4,1,3435,,790000.0
459999.99999999994,,,,2012,0,4,1,35775,,310000.0
1479000.0,,,,2015,0,1,1,43535,,1175000.0
1360000.0,,,,2016,0,4,1,22671,,1125000.0
679000.0,,,,2011,0,4,1,31604,,290000.0
570000.0,,,,2017,0,4,1,20114,,525000.0
940000.0,,,,2012,0,4,1,36100,,450000.0
443000.0,,,,2016,0,4,1,15000,,315000.0
940000.0,,,,2014,0,4,1,45078,,645000.0
940000.0,,,,2012,0,4,1,36000,,450000.0
443000.0,,,,2017,0,4,1,38488,,350000.0
760000.0,,,,2014,0,1,1,77632,,600000.0
940000.0,,,,2015,0,1,1,61381,,825000.0
940000.0,,,,2013,0,4,0,36198,,511000.00000000006
570000.0,,,,2015,0,4,1,24678,,525000.0
443000.0,,,,2011,0,4,1,57000,,254999.99999999997
940000.0,,,,2012,0,1,1,60000,,495000.0
679000.0,,,,2012,0,1,1,52132,,310000.0
940000.0,,,,2013,0,1,1,45000,,615000.0
940000.0,,,,2017,0,4,1,15001,,925000.0
1479000.0,,,,2015,0,4,0,12900,,1145000.0
570000.0,,,,2013,0,1,1,53000,,390000.0
570000.0,,,,2015,0,4,1,4492,,550000.0
940000.0,,,,2017,0,4,1,15141,,910000.0
443000.0,,,,2016,0,4,1,11849,,310000.0
1360000.0,,,,2015,0,1,1,68000,,1125000.0
940000.0,,,,2013,0,4,1,60241,,480000.0
443000.0,,,,2012,0,4,1,23709,,200000.0
940000.0,,,,2012,0,1,1,32322,,535000.0
760000.0,,,,2016,0,4,1,7000,,625000.0
940000.0,,,,2013,0,1,1,49000,,595000.0
940000.0,,,,2012,0,1,1,71000,,520000.0
679000.0,,,,2012,0,4,1,35000,,375000.0
940000.0,,,,2015,0,4,1,36000,,595000.0
760000.0,,,,2016,0,4,1,17000,,525000.0
1360000.0,,,,2016,0,1,1,35934,,1290000.0
682000.0,,,,2015,0,4,0,31427,,540000.0
990000.0,,,,2014,0,1,1,48000,,720000.0
990000.0,,,,2013,0,4,1,54242,,525000.0
535000.0,,,,2012,0,4,1,53675,,300000.0
1360000.0,,,,2016,0,4,1,49562,,1025000.0
1360000.0,,,,2015,0,4,1,40324,,850000.0
1360000.0,,,,2015,0,4,1,25000,,840000.0
700000.0,,,,2014,0,4,1,36054,,390000.0
1360000.0,,,,2016,0,4,1,29223,,915000.0
597000.0,,,,2016,0,4,1,5600,,550000.0
580000.0,,,,2015,0,4,1,40023,,400000.0
770000.0,,,,2016,0,4,1,16002,,660000.0
869999.9999999999,,,,2017,0,4,1,21200,,650000.0
700000.0,,,,2014,0,4,1,35000,,365000.0
940000.0,,,,2016,0,1,1,19434,,835000.0
580000.0,,,,2017,0,4,1,19000,,480000.0
1000000.0,,,,2015,0,4,1,18828,,670000.0
1000000.0,,,,2011,0,4,1,69341,,409999.99999999994
1000000.0,,,,2009,0,4,1,69562,,300000.0
1000000.0,,,,2015,0,4,1,27600,,750000.0
750000.0,,,,2010,0,4,1,61203,,225000.0
1360000.0,,,,2016,0,4,0,30753,,1090000.0
1360000.0,,,,2015,0,4,1,24800,,865000.0
1360000.0,,,,2015,0,4,1,21780,,969999.9999999999
1360000.0,,,,2014,0,4,1,40126,,625000.0
590000.0,,,,2015,0,4,1,14465,,525000.0
760000.0,,,,2006,0,4,1,50456,,210000.0
1400000.0,,,,2014,0,1,1,63000,,825000.0
1180000.0,,,,2016,0,4,1,9010,,899000.0
590000.0,,,,2013,0,4,1,9800,,350000.0
850000.0,,,,2016,0,4,0,15059,,740000.0
790000.0,,,,2016,0,4,1,28569,,565000.0
750000.0,,,,2015,0,4,0,44000,,575000.0
1360000.0,,,,2015,0,4,1,34000,,840000.0
1360000.0,,,,2016,0,4,1,10980,,1011000.0
640000.0,,,,2014,0,4,1,19000,,450000.0
610000.0,,,,2015,0,4,1,31427,,540000.0
840000.0,,,,2016,0,4,1,12000,,640000.0
990000.0,,,,2010,0,4,1,38000,,325000.0
680000.0,,,,2014,0,4,1,33019,,375000.0
1309000.0,,,,2015,0,1,1,60076,,855000.0000000001
1160000.0,,,,2016,0,1,1,33988,,950000.0
590000.0,,,,2015,0,4,1,60000,,400000.0
1100000.0,,,,2009,0,4,1,87934,,335000.0
1250000.0,,,,2017,0,1,1,9000,,1150000.0
590000.0,,,,2016,0,4,1,5464,,530000.0
,37.0,59.0,796.0,2007,1,4,1,70000,16.1,60000.0
,67.0,84.0,1061.0,2007,1,4,1,50000,18.9,135000.0
,53.64,72.0,799.0,2017,1,4,1,46000,22.7,250000.0
,98.6,200.0,1498.0,2014,1,1,1,141000,25.8,450000.0
,46.3,62.0,796.0,2007,1,4,1,125000,19.7,140000.0
,99.6,124.0,1396.0,2014,1,4,1,60000,12.85,240000.0
,121.3,151.0,1591.0,2015,1,4,1,25000,15.29,850000.0
,,,,2017,1,0,1,78000,,365000.0
,,,,2015,1,4,1,35000,,260000.0
,99.6,124.0,1396.0,2014,1,4,1,100000,12.85,250000.0
,138.03,173.0,1798.0,2018,0,4,0,25000,14.28,1650000.0
,37.0,59.0,796.0,2007,1,4,1,70000,16.1,60000.0
,67.0,84.0,1061.0,2007,1,4,1,50000,18.9,135000.0
,126.32,259.8,1582.0,2012,1,1,1,100000,22.32,600000.0
,53.64,72.0,799.0,2017,1,4,1,46000,22.7,250000.0
,98.6,200.0,1498.0,2014,1,1,1,141000,25.8,450000.0
,46.3,62.0,796.0,2007,1,4,1,125000,19.7,140000.0
,82.0,114.0,1197.0,2016,1,4,1,25000,19.1,550000.0
,99.6,124.0,1396.0,2014,1,4,1,60000,12.85,240000.0
,121.3,151.0,1591.0,2015,1,4,1,25000,15.29,850000.0
,,,,2017,1,0,1,78000,,365000.0
,,,,2015,1,4,1,35000,,260000.0
,99.6,124.0,1396.0,2014,1,4,1,100000,12.85,250000.0
,138.03,173.0,1798.0,2018,0,4,0,25000,14.28,1650000.0
,91.1,130.0,1373.0,2015,0,4,1,24000,20.73,585000.0
,,,,2019,0,1,1,5000,,1195000.0
,73.8,172.5,1248.0,2013,1,1,1,33000,18.2,390000.0
,187.7,450.0,2179.0,2014,0,1,0,28000,16.36,1964999.0
,170.0,400.0,2143.0,2013,0,1,0,59000,14.84,1425000.0
,88.5,200.0,1248.0,2018,0,1,0,4500,24.3,975000.0
,167.6,350.0,1968.0,2011,0,1,0,175900,12.8,1190000.0
,116.3,146.0,1497.0,2018,0,4,1,14500,16.8,930000.0
,84.0,114.0,1199.0,2018,1,4,1,15000,20.3,525000.0
,187.74,400.0,1968.0,2013,0,1,0,50000,18.53,1735000.0
,,,,2012,0,1,0,33800,,1375000.0
,,,,2011,0,1,0,130400,,450000.0
,,,,2016,1,4,0,50000,,900000.0
,100.6,200.0,2494.0,2015,1,1,1,80000,12.99,1300000.0
,,,,2019,1,4,1,10000,,1400000.0
,,,,2010,0,4,0,119000,,850000.0
,68.05,99.04,1086.0,2014,1,4,1,60000,19.81,229999.0
,,,,2013,0,1,0,75800,,1550000.0
,241.4,550.0,2967.0,2009,0,1,0,78000,12.07,1250000.0
,,,,2012,1,1,1,40000,,625000.0
,120.0,280.0,1997.0,2014,1,1,1,50000,15.4,1050000.0
,98.6,200.0,1498.0,2014,1,1,1,74000,26.0,560000.0
,67.1,90.0,998.0,2014,1,4,1,64000,18.9,290000.0
,67.04,90.0,998.0,2012,1,4,1,60000,20.51,275000.0
,120.0,290.0,2179.0,2009,1,1,1,120000,12.05,411000.0
,62.1,96.1,1086.0,2009,1,4,1,79000,17.92,150000.0
,81.86,113.75,1197.0,2019,1,4,1,15000,18.9,500000.0
,46.3,62.0,796.0,2006,1,4,1,80000,19.7,100000.0
,74.0,190.0,1248.0,2017,0,1,1,18500,26.59,725000.0
,73.0,101.0,1196.0,2018,0,4,1,10200,15.37,401000.0
,88.73,219.7,1396.0,2018,0,1,1,29000,22.54,750000.0
,,,,2018,0,4,1,28000,,310000.0
,,,,2016,0,1,1,46000,,665000.0
,88.73,219.7,1396.0,2014,0,1,1,70000,22.54,465000.0
,,,,1996,1,1,1,35000,,250000.0
,98.6,200.0,1498.0,2014,0,1,1,90000,25.1,675000.0
,67.04,90.0,998.0,2013,0,4,1,80000,20.51,300000.0
,,,,2005,1,1,1,80000,,70000.0
,55.2,74.5,814.0,2014,0,4,1,73300,21.1,240000.0
,67.05,170.0,1364.0,2014,0,1,1,92000,23.59,525000.0
,46.3,62.0,796.0,2009,0,4,1,66764,19.7,151000.0
,46.3,62.0,796.0,2009,1,4,1,100000,19.7,140000.0
,80.0,19.0,2499.0,2010,1,1,1,350000,14.8,280000.0
,87.2,205.0,1364.0,2011,1,1,1,230000,21.43,350000.0
,55.2,74.5,814.0,2018,1,4,1,31000,21.1,300000.0
,,,,2007,1,1,1,39000,,100000.0
,102.0,20.4,2494.0,2009,1,1,1,120000,12.8,500000.0
,,,,2006,1,4,1,110000,,130000.0
,98.96,205.0,1498.0,2017,1,1,1,35000,23.0,925000.0
,,,,2018,1,1,1,60000,,750000.0
,130.0,172.0,1799.0,2007,1,4,0,54000,12.9,200000.0
,78.9,111.8,1197.0,2010,1,4,1,63000,20.36,248000.0
,103.52,250.0,1498.0,2014,1,1,1,120000,21.14,450000.0
,83.0,115.0,1341.0,2005,1,4,1,120000,15.3,80000.0
,102.5,145.0,1598.0,2014,1,4,1,76000,13.24,650000.0
,70.0,160.0,1120.0,2015,1,1,1,80000,24.0,450000.0
,,,,2019,1,1,1,25000,,650000.0
,86.7,109.0,1198.0,2016,0,4,1,11958,17.8,495000.0
,86.8,109.0,1198.0,2015,0,4,1,20000,19.4,371000.0
,121.3,151.0,1591.0,2017,0,4,1,9000,15.8,1025000.0
,,,,2017,0,1,0,6500,,8150000.0
,140.0,330.0,2179.0,2015,1,1,1,70000,15.1,750000.0
,,,,2007,0,4,1,58000,,80000.0
,62.1,195.0,2523.0,2013,0,1,1,62200,15.96,325000.0
,174.33,380.0,1968.0,2014,0,1,0,34000,17.68,1470000.0
,91.72,209.0,1248.0,2015,1,1,1,53000,20.5,350000.0
,,,,2013,0,1,0,49000,,2800000.0
,67.0,91.0,999.0,2017,0,4,1,15000,22.5,210000.0
,,,,2013,1,4,1,50000,,450000.0
,130.0,172.0,1799.0,2009,0,4,0,63500,12.9,210000.0
,194.4,300.0,1991.0,2018,0,4,0,9800,15.0,4500000.0
,,,,2018,0,1,0,21000,,1975000.0
,104.68,145.0,1586.0,2008,0,4,1,29173,15.0,175000.0
,258.0,560.0,2993.0,2012,0,1,0,48000,14.49,2500000.0
,70.0,195.0,1493.0,2017,1,1,1,120000,16.5,628000.0
,150.0,32.1,1991.0,2010,1,1,1,100000,11.8,600000.0
,,,,2017,1,4,1,30000,,399000.0
,93.7,218.0,2489.0,2018,1,1,1,87000,14.95,750000.0
,81.86,117.0,1197.0,2019,1,4,1,15000,18.6,750000.0
,53.3,72.0,799.0,2017,1,4,1,16000,25.17,315000.0
,112.0,260.0,2498.0,2012,1,1,1,60000,11.68,600000.0
,67.0,84.0,1061.0,2010,1,4,1,60000,18.9,100000.0
,103.2,145.0,1586.0,2011,1,4,1,110000,16.51,250000.0
,53.3,72.0,799.0,2017,1,4,1,25000,25.17,350000.0
,88.7,219.7,1396.0,2016,1,1,1,60000,21.38,780000.0
,74.0,190.0,1248.0,2014,1,1,1,79350,26.59,434000.0
,,,,2016,1,4,0,80000,,690000.0
,120.0,290.0,2179.0,2014,1,1,1,90000,12.05,555000.0
,57.6,150.0,936.0,2013,1,1,1,60000,25.44,165000.0
,60.0,78.0,993.0,2004,1,4,1,50000,17.3,95000.0
,83.1,115.0,1197.0,2018,1,4,1,20000,21.4,550000.0
,37.48,51.0,624.0,2012,1,4,1,50000,25.4,100000.0
,100.6,200.0,2494.0,2012,1,1,1,100000,12.99,500000.0
,88.5,200.0,1248.0,2016,1,1,1,70000,24.52,800000.0
,126.2,259.9,1582.0,2016,1,1,1,70000,19.67,840000.0
,86.7,109.0,1198.0,2016,1,4,1,50000,18.0,490000.0
,71.0,135.0,1405.0,2010,1,1,1,81000,17.0,125000.0
,,,,2012,1,1,1,120000,,400000.0
,147.9,327.0,1991.0,2015,0,1,1,3600,18.3,1000000.0
,86.8,112.0,1196.0,2015,0,4,1,14272,18.16,530000.0
,98.96,205.0,1498.0,2017,0,1,1,49213,23.0,840000.0
,37.0,59.0,796.0,1998,1,4,1,40000,16.1,40000.0
,62.0,90.3,995.0,2012,1,4,1,80000,18.0,130000.0
,55.2,74.5,814.0,2015,1,4,1,70000,21.1,200000.0
,71.0,135.0,1405.0,2011,1,1,1,70000,17.0,120000.0
,,,,2003,1,4,1,57000,,75000.0
,37.0,59.0,796.0,2005,1,4,1,30000,16.1,100000.0
,55.2,74.5,814.0,2013,1,4,1,3240,21.1,280000.0
,81.83,114.7,1197.0,2015,1,4,1,5000,18.6,540000.0
,81.83,114.7,1197.0,2018,1,4,1,10000,18.6,700000.0
,88.5,200.0,1248.0,2015,1,1,1,100000,26.21,525000.0
,88.73,219.7,1396.0,2016,1,1,1,80000,22.54,430000.0
,,,,2002,1,4,1,70000,,65000.0
,88.5,200.0,1248.0,2018,1,1,1,35000,24.3,800000.0
,,,,2007,1,4,1,114000,,75000.0
,,,,2008,1,4,1,53772,,210000.0
,100.0,240.0,1493.0,2012,1,1,1,140000,17.21,195000.0
,,,,2015,1,1,1,120000,,400000.0
,55.2,74.5,814.0,2012,1,4,1,60000,21.1,170000.0
,53.3,72.0,799.0,2016,1,4,1,25000,25.17,225000.0
,,,,2014,1,3,1,90000,,210000.0
,67.05,90.0,998.0,2020,1,4,1,120000,21.79,240000.0
,73.74,172.5,1248.0,2015,1,1,1,175000,18.2,300000.0
,62.0,90.3,995.0,2011,1,4,1,100000,18.0,99000.0
,117.3,145.0,1497.0,2014,1,4,1,36000,17.8,620000.0
,98.6,200.0,1498.0,2013,1,1,1,30000,25.8,500000.0
,,,,2010,1,4,0,40000,,2550000.0
,86.8,109.0,1198.0,2013,1,4,1,70000,19.4,260000.0
,81.8,113.0,1197.0,2017,1,4,1,60000,22.0,550000.0
,70.0,140.0,1396.0,2011,1,1,1,155500,23.57,150000.0
,,,,2011,1,4,0,50000,,350000.0
,79.4,108.0,1199.0,2016,1,4,1,40000,18.6,320000.0
,74.0,190.0,1248.0,2015,1,1,1,100000,25.2,400000.0
,46.3,62.0,796.0,2012,1,4,1,80000,19.7,175000.0
,79.4,108.0,1199.0,2011,1,4,1,90000,18.6,120000.0
,108.45,248.0,1461.0,2013,1,1,1,90000,19.01,320000.0
,,,,2006,1,4,1,110000,,70000.0
,81.8,113.0,1197.0,2019,1,4,1,15000,21.21,810000.0
,37.0,59.0,796.0,2007,1,4,1,100000,16.1,95000.0
,58.3,78.0,998.0,2020,1,0,1,40000,32.26,282000.0
,37.0,59.0,796.0,2004,1,4,1,60000,16.1,80000.0
,37.5,51.0,624.0,2013,1,4,1,25000,25.4,72000.0
,81.83,114.7,1197.0,2016,1,4,1,25000,18.6,600000.0
,,,,2015,1,4,1,23000,,640000.0
,67.05,90.0,998.0,2018,1,4,1,22155,23.95,380000.0
,,,,2018,1,4,1,70000,,650000.0
,46.3,62.0,796.0,2009,1,4,1,60000,19.7,150000.0
,80.0,11.4,1197.0,2009,1,4,1,110000,17.0,280000.0
,108.5,170.0,1198.0,2018,1,4,1,30000,17.0,430000.0
,70.0,195.0,1493.0,2019,1,1,1,15000,16.5,800000.0
,58.0,789.0,1527.0,2003,1,1,1,100000,20.8,75000.0
,73.0,101.0,1196.0,2017,1,4,1,24000,15.37,390000.0
,100.0,13.1,1493.0,2005,1,4,1,120000,13.0,100000.0
,170.0,400.0,2143.0,2013,1,1,0,35000,14.84,1500000.0
,104.68,145.0,1586.0,2007,1,4,1,78380,15.6,175000.0
,108.45,248.0,1461.0,2012,1,1,1,110000,19.01,434999.0
,68.0,160.0,1399.0,2010,1,1,1,90000,20.0,170000.0
,68.0,160.0,1399.0,2011,1,1,1,90000,20.0,190000.0
,73.9,190.0,1248.0,2009,1,1,1,150000,19.3,250000.0
,112.0,260.0,2498.0,2009,1,1,1,230000,14.0,229999.0
,85.0,110.0,1298.0,2006,1,4,1,70000,15.9,140000.0
,80.0,11.4,1197.0,2012,1,4,1,110000,17.0,280000.0
,57.6,150.0,936.0,2012,1,1,1,60000,25.44,150000.0
,163.7,360.0,1998.0,2015,1,1,0,50000,14.81,650000.0
,75.0,104.0,1198.0,2014,1,4,1,40000,18.06,210000.0
,190.0,400.0,1995.0,2017,1,1,0,40000,18.12,2900000.0
,73.74,172.5,1248.0,2013,0,1,1,20000,18.2,425000.0
,,,,2014,0,4,1,55000,,265000.0
,,,,2013,0,4,1,55000,,365000.0
,70.0,102.0,1196.0,2014,0,4,1,43000,15.6,350000.0
,,,,2016,1,1,1,60000,,685000.0
,108.6,250.0,1498.0,2018,0,1,1,2650,21.13,940000.0
,140.0,330.0,2179.0,2017,1,1,1,40000,15.1,1000000.0
