name,year,selling_price,seats,owner,transmission,torque,Present_Price,km_driven,seller_type,mileage,engine,max_power,fuel,name_encoded,seller_type_encoded,transmission_encoded,fuel_encoded
corolla altis,2013,7.45,,0,Manual,,18.61,56001,Dealer,,,,Petrol,2522,0,1,4
etios liva,2011,2.65,,0,Manual,,5.71,43000,Dealer,,,,Petrol,2531,0,1,4
etios cross,2014,4.9,,0,Manual,,8.93,83000,Dealer,,,,Diesel,2528,0,1,1
etios g,2015,3.95,,0,Manual,,6.8,36000,Dealer,,,,Petrol,2529,0,1,4
corolla altis,2013,5.5,,0,Manual,,14.68,72000,Dealer,,,,Petrol,2522,0,1,4
corolla,2004,1.5,,0,Automatic,,12.35,135154,Dealer,,,,Petrol,2521,0,0,4
corolla altis,2010,5.25,,0,Automatic,,22.83,80000,Dealer,,,,Petrol,2522,0,0,4
fortuner,2012,14.5,,0,Automatic,,30.61,89000,Dealer,,,,Diesel,2532,0,0,1
corolla altis,2016,14.73,,0,Manual,,14.89,23000,Dealer,,,,Diesel,2522,0,1,1
etios gd,2015,4.75,,0,Manual,,7.85,40000,Dealer,,,,Diesel,2530,0,1,1
innova,2017,23.0,,0,Automatic,,25.39,15000,Dealer,,,,Diesel,2537,0,0,1
innova,2015,12.5,,0,Manual,,13.46,38000,Dealer,,,,Diesel,2537,0,1,1
innova,2005,3.49,,0,Manual,,13.46,197176,Dealer,,,,Diesel,2537,0,1,1
camry,2006,2.5,,3,Automatic,,23.73,142000,Individual,,,,Petrol,2518,1,0,4
corolla altis,2012,5.9,,0,Manual,,13.74,56000,Dealer,,,,Petrol,2522,0,1,4
etios liva,2013,3.45,,0,Manual,,6.05,47000,Dealer,,,,Petrol,2531,0,1,4
etios g,2014,4.75,,0,Manual,,6.76,40000,Dealer,,,,Petrol,2529,0,1,4
corolla altis,2009,3.8,,0,Manual,,18.61,62000,Dealer,,,,Petrol,2522,0,1,4
innova,2005,3.51,,0,Manual,,13.7,75000,Dealer,,,,Petrol,2537,0,1,4
fortuner,2015,23.0,,0,Automatic,,30.61,40000,Dealer,,,,Diesel,2532,0,0,1
corolla altis,2008,4.0,,0,Automatic,,22.78,89000,Dealer,,,,Petrol,2522,0,0,4
corolla altis,2012,5.85,,0,Manual,,18.61,72000,Dealer,,,,Petrol,2522,0,1,4
innova,2016,20.75,,0,Automatic,,25.39,29000,Dealer,,,,Diesel,2537,0,0,1
corolla altis,2017,17.0,,0,Manual,,18.64,8700,Dealer,,,,Petrol,2522,0,1,4
corolla altis,2013,7.05,,0,Manual,,18.61,45000,Dealer,,,,Petrol,2522,0,1,4
fortuner,2010,9.65,,0,Manual,,20.45,50024,Dealer,,,,Diesel,2532,0,1,1
Royal Enfield Thunder 500,2016,1.75,,0,Manual,,1.9,3000,Individual,,,,Petrol,1931,1,1,4
UM Renegade Mojave,2017,1.7,,0,Manual,,1.82,1400,Individual,,,,Petrol,2413,1,1,4
KTM RC200,2017,1.65,,0,Manual,,1.78,4000,Individual,,,,Petrol,1015,1,1,4
Bajaj Dominar 400,2017,1.45,,0,Manual,,1.6,1200,Individual,,,,Petrol,86,1,1,4
Royal Enfield Classic 350,2017,1.35,,0,Manual,,1.47,4100,Individual,,,,Petrol,1928,1,1,4
KTM RC390,2015,1.35,,0,Manual,,2.37,21700,Individual,,,,Petrol,1016,1,1,4
Hyosung GT250R,2014,1.35,,1,Manual,,3.45,16500,Individual,,,,Petrol,619,1,1,4
Royal Enfield Thunder 350,2013,1.25,,0,Manual,,1.5,15000,Individual,,,,Petrol,1930,1,1,4
Royal Enfield Thunder 350,2016,1.2,,0,Manual,,1.5,18000,Individual,,,,Petrol,1930,1,1,4
Royal Enfield Classic 350,2017,1.2,,0,Manual,,1.47,11000,Individual,,,,Petrol,1928,1,1,4
KTM RC200,2016,1.2,,0,Manual,,1.78,6000,Individual,,,,Petrol,1015,1,1,4
Royal Enfield Thunder 350,2016,1.15,,0,Manual,,1.5,8700,Individual,,,,Petrol,1930,1,1,4
KTM 390 Duke ,2014,1.15,,0,Manual,,2.4,7000,Individual,,,,Petrol,1014,1,1,4
Mahindra Mojo XT300,2016,1.15,,0,Manual,,1.4,35000,Individual,,,,Petrol,1132,1,1,4
Royal Enfield Classic 350,2015,1.11,,0,Manual,,1.47,17500,Individual,,,,Petrol,1928,1,1,4
Royal Enfield Classic 350,2013,1.1,,0,Manual,,1.47,33000,Individual,,,,Petrol,1928,1,1,4
Royal Enfield Thunder 500,2015,1.1,,0,Manual,,1.9,14000,Individual,,,,Petrol,1931,1,1,4
Royal Enfield Classic 350,2015,1.1,,0,Manual,,1.47,26000,Individual,,,,Petrol,1928,1,1,4
Royal Enfield Thunder 500,2013,1.05,,0,Manual,,1.9,5400,Individual,,,,Petrol,1931,1,1,4
Bajaj Pulsar RS200,2016,1.05,,0,Manual,,1.26,5700,Individual,,,,Petrol,92,1,1,4
Royal Enfield Thunder 350,2011,1.05,,0,Manual,,1.5,6900,Individual,,,,Petrol,1930,1,1,4
Royal Enfield Bullet 350,2016,1.05,,0,Manual,,1.17,6000,Individual,,,,Petrol,1927,1,1,4
Royal Enfield Classic 350,2013,1.0,,0,Manual,,1.47,46500,Individual,,,,Petrol,1928,1,1,4
Royal Enfield Classic 500,2012,0.95,,0,Manual,,1.75,11500,Individual,,,,Petrol,1929,1,1,4
Royal Enfield Classic 500,2009,0.9,,0,Manual,,1.75,40000,Individual,,,,Petrol,1929,1,1,4
Bajaj Avenger 220,2017,0.9,,0,Manual,,0.95,1300,Individual,,,,Petrol,81,1,1,4
Bajaj Avenger 150,2016,0.75,,0,Manual,,0.8,7000,Individual,,,,Petrol,79,1,1,4
Honda CB Hornet 160R,2017,0.8,,0,Manual,,0.87,3000,Individual,,,,Petrol,502,1,1,4
Yamaha FZ S V 2.0,2017,0.78,,0,Manual,,0.84,5000,Individual,,,,Petrol,2511,1,1,4
Honda CB Hornet 160R,2017,0.75,,0,Manual,,0.87,11000,Individual,,,,Petrol,502,1,1,4
Yamaha FZ 16,2015,0.75,,0,Manual,,0.82,18000,Individual,,,,Petrol,2509,1,1,4
Bajaj Avenger 220,2017,0.75,,0,Manual,,0.95,3500,Individual,,,,Petrol,81,1,1,4
Bajaj Avenger 220,2016,0.72,,0,Manual,,0.95,500,Individual,,,,Petrol,81,1,1,4
TVS Apache RTR 160,2017,0.65,,0,Manual,,0.81,11800,Individual,,,,Petrol,2000,1,1,4
Bajaj Pulsar 150,2015,0.65,,0,Manual,,0.74,5000,Individual,,,,Petrol,89,1,1,4
Hero Extreme,2013,0.65,,0,Manual,,0.787,16000,Individual,,,,Petrol,431,1,1,4
Honda CB Hornet 160R,2016,0.6,,0,Manual,,0.87,15000,Individual,,,,Petrol,502,1,1,4
Bajaj Avenger 220 dtsi,2015,0.6,,0,Manual,,0.95,16600,Individual,,,,Petrol,82,1,1,4
Honda CBR 150,2013,0.6,,0,Manual,,1.2,32000,Individual,,,,Petrol,506,1,1,4
Bajaj Avenger 150 street,2016,0.6,,0,Manual,,0.8,20000,Individual,,,,Petrol,80,1,1,4
Yamaha FZ  v 2.0,2015,0.6,,0,Manual,,0.84,29000,Individual,,,,Petrol,2508,1,1,4
Yamaha FZ  v 2.0,2016,0.6,,0,Manual,,0.84,25000,Individual,,,,Petrol,2508,1,1,4
Bajaj Pulsar  NS 200,2014,0.6,,0,Manual,,0.99,25000,Individual,,,,Petrol,87,1,1,4
TVS Apache RTR 160,2012,0.6,,0,Manual,,0.81,19000,Individual,,,,Petrol,2000,1,1,4
Hero Extreme,2014,0.55,,0,Manual,,0.787,15000,Individual,,,,Petrol,431,1,1,4
Yamaha FZ S V 2.0,2015,0.55,,0,Manual,,0.84,58000,Individual,,,,Petrol,2511,1,1,4
Bajaj Pulsar 220 F,2010,0.52,,0,Manual,,0.94,45000,Individual,,,,Petrol,90,1,1,4
Bajaj Pulsar 220 F,2016,0.51,,0,Manual,,0.94,24000,Individual,,,,Petrol,90,1,1,4
TVS Apache RTR 180,2011,0.5,,0,Manual,,0.826,6000,Individual,,,,Petrol,2001,1,1,4
Hero Passion X pro,2016,0.5,,0,Manual,,0.55,31000,Individual,,,,Petrol,437,1,1,4
Bajaj Pulsar NS 200,2012,0.5,,0,Manual,,0.99,13000,Individual,,,,Petrol,91,1,1,4
Bajaj Pulsar NS 200,2013,0.5,,0,Manual,,0.99,45000,Individual,,,,Petrol,91,1,1,4
Yamaha Fazer ,2014,0.5,,0,Manual,,0.88,8000,Individual,,,,Petrol,2512,1,1,4
Honda Activa 4G,2017,0.48,,0,Automatic,,0.51,4300,Individual,,,,Petrol,449,1,0,4
TVS Sport ,2017,0.48,,0,Manual,,0.52,15000,Individual,,,,Petrol,2003,1,1,4
Yamaha FZ S V 2.0,2015,0.48,,0,Manual,,0.84,23000,Individual,,,,Petrol,2511,1,1,4
Honda Dream Yuga ,2017,0.48,,0,Manual,,0.54,8600,Individual,,,,Petrol,584,1,1,4
Honda Activa 4G,2017,0.45,,0,Automatic,,0.51,4000,Individual,,,,Petrol,449,1,0,4
Bajaj Avenger Street 220,2011,0.45,,0,Manual,,0.95,24000,Individual,,,,Petrol,83,1,1,4
TVS Apache RTR 180,2014,0.45,,0,Manual,,0.826,23000,Individual,,,,Petrol,2001,1,1,4
Bajaj Pulsar NS 200,2012,0.45,,0,Manual,,0.99,14500,Individual,,,,Petrol,91,1,1,4
Bajaj Avenger 220 dtsi,2010,0.45,,0,Manual,,0.95,27000,Individual,,,,Petrol,82,1,1,4
Hero Splender iSmart,2016,0.45,,0,Manual,,0.54,14000,Individual,,,,Petrol,439,1,1,4
Activa 3g,2016,0.45,,0,Automatic,,0.54,500,Individual,,,,Petrol,0,1,0,4
Hero Passion Pro,2016,0.45,,0,Manual,,0.55,1000,Individual,,,,Petrol,436,1,1,4
TVS Apache RTR 160,2014,0.42,,0,Manual,,0.81,42000,Individual,,,,Petrol,2000,1,1,4
Honda CB Trigger,2013,0.42,,0,Manual,,0.73,12000,Individual,,,,Petrol,504,1,1,4
Hero Splender iSmart,2015,0.4,,0,Manual,,0.54,14000,Individual,,,,Petrol,439,1,1,4
Yamaha FZ S ,2012,0.4,,0,Manual,,0.83,5500,Individual,,,,Petrol,2510,1,1,4
Hero Passion Pro,2015,0.4,,0,Manual,,0.55,6700,Individual,,,,Petrol,436,1,1,4
Bajaj Pulsar 135 LS,2014,0.4,,0,Manual,,0.64,13700,Individual,,,,Petrol,88,1,1,4
Activa 4g,2017,0.4,,0,Automatic,,0.51,1300,Individual,,,,Petrol,1,1,0,4
Hero Honda CBZ extreme,2011,0.38,,0,Manual,,0.787,75000,Individual,,,,Petrol,433,1,1,4
Honda Karizma,2011,0.35,,0,Manual,,1.05,30000,Individual,,,,Petrol,606,1,1,4
Honda Activa 125,2016,0.35,,0,Automatic,,0.57,24000,Individual,,,,Petrol,448,1,0,4
TVS Jupyter,2014,0.35,,0,Automatic,,0.52,19000,Individual,,,,Petrol,2002,1,0,4
Honda Karizma,2010,0.31,,0,Manual,,1.05,213000,Individual,,,,Petrol,606,1,1,4
Hero Honda Passion Pro,2012,0.3,,0,Manual,,0.51,60000,Individual,,,,Petrol,434,1,1,4
Hero Splender Plus,2016,0.3,,0,Manual,,0.48,50000,Individual,,,,Petrol,438,1,1,4
Honda CB Shine,2013,0.3,,0,Manual,,0.58,30000,Individual,,,,Petrol,503,1,1,4
Bajaj Discover 100,2013,0.27,,0,Manual,,0.47,21000,Individual,,,,Petrol,84,1,1,4
Bajaj Pulsar 150,2008,0.25,,1,Manual,,0.75,26000,Individual,,,,Petrol,89,1,1,4
Suzuki Access 125,2008,0.25,,0,Automatic,,0.58,1900,Individual,,,,Petrol,1999,1,0,4
Honda CB twister,2013,0.25,,0,Manual,,0.51,32000,Individual,,,,Petrol,505,1,1,4
Hero Glamour,2013,0.25,,0,Manual,,0.57,18000,Individual,,,,Petrol,432,1,1,4
Hero Super Splendor,2005,0.2,,0,Manual,,0.57,55000,Individual,,,,Petrol,440,1,1,4
Bajaj Pulsar 150,2008,0.2,,0,Manual,,0.75,60000,Individual,,,,Petrol,89,1,1,4
Bajaj Discover 125,2012,0.2,,1,Manual,,0.57,25000,Individual,,,,Petrol,85,1,1,4
Hero Hunk,2007,0.2,,1,Manual,,0.75,49000,Individual,,,,Petrol,435,1,1,4
Hero  Ignitor Disc,2013,0.2,,1,Manual,,0.65,24000,Individual,,,,Petrol,430,1,1,4
Hero  CBZ Xtreme,2008,0.2,,0,Manual,,0.787,50000,Individual,,,,Petrol,429,1,1,4
Bajaj  ct 100,2015,0.18,,0,Manual,,0.32,35000,Individual,,,,Petrol,78,1,1,4
Activa 3g,2008,0.17,,0,Automatic,,0.52,500000,Individual,,,,Petrol,0,1,0,4
Honda CB twister,2010,0.16,,0,Manual,,0.51,33000,Individual,,,,Petrol,505,1,1,4
Bajaj Discover 125,2011,0.15,,1,Manual,,0.57,35000,Individual,,,,Petrol,85,1,1,4
Honda CB Shine,2007,0.12,,0,Manual,,0.58,53000,Individual,,,,Petrol,503,1,1,4
Bajaj Pulsar 150,2006,0.1,,0,Manual,,0.75,92233,Individual,,,,Petrol,89,1,1,4
i20,2010,3.25,,1,Manual,,6.79,58000,Dealer,,,,Diesel,2535,0,1,1
grand i10,2015,4.4,,0,Manual,,5.7,28200,Dealer,,,,Petrol,2533,0,1,4
i10,2011,2.95,,0,Manual,,4.6,53460,Dealer,,,,Petrol,2534,0,1,4
eon,2015,2.75,,0,Manual,,4.43,28282,Dealer,,,,Petrol,2526,0,1,4
grand i10,2016,5.25,,1,Manual,,5.7,3493,Dealer,,,,Petrol,2533,0,1,4
xcent,2017,5.75,,0,Manual,,7.13,12479,Dealer,,,,Petrol,2547,0,1,4
i20,2017,7.9,,0,Manual,,8.1,3435,Dealer,,,,Petrol,2535,0,1,4
i10,2012,3.1,,0,Manual,,4.6,35775,Dealer,,,,Petrol,2534,0,1,4
elantra,2015,11.75,,0,Manual,,14.79,43535,Dealer,,,,Diesel,2525,0,1,1
creta,2016,11.25,,0,Manual,,13.6,22671,Dealer,,,,Petrol,2523,0,1,4
i20,2011,2.9,,0,Manual,,6.79,31604,Dealer,,,,Petrol,2535,0,1,4
grand i10,2017,5.25,,0,Manual,,5.7,20114,Dealer,,,,Petrol,2533,0,1,4
verna,2012,4.5,,0,Manual,,9.4,36100,Dealer,,,,Petrol,2544,0,1,4
eon,2016,3.15,,0,Manual,,4.43,15000,Dealer,,,,Petrol,2526,0,1,4
verna,2014,6.45,,0,Manual,,9.4,45078,Dealer,,,,Petrol,2544,0,1,4
verna,2012,4.5,,0,Manual,,9.4,36000,Dealer,,,,Petrol,2544,0,1,4
eon,2017,3.5,,0,Manual,,4.43,38488,Dealer,,,,Petrol,2526,0,1,4
i20,2014,6.0,,0,Manual,,7.6,77632,Dealer,,,,Diesel,2535,0,1,1
verna,2015,8.25,,0,Manual,,9.4,61381,Dealer,,,,Diesel,2544,0,1,1
verna,2013,5.11,,0,Automatic,,9.4,36198,Dealer,,,,Petrol,2544,0,0,4
grand i10,2015,5.25,,0,Manual,,5.7,24678,Dealer,,,,Petrol,2533,0,1,4
i10,2011,2.55,,0,Manual,,4.43,57000,Dealer,,,,Petrol,2534,0,1,4
verna,2012,4.95,,0,Manual,,9.4,60000,Dealer,,,,Diesel,2544,0,1,1
i20,2012,3.1,,0,Manual,,6.79,52132,Dealer,,,,Diesel,2535,0,1,1
verna,2013,6.15,,0,Manual,,9.4,45000,Dealer,,,,Diesel,2544,0,1,1
verna,2017,9.25,,0,Manual,,9.4,15001,Dealer,,,,Petrol,2544,0,1,4
elantra,2015,11.45,,0,Automatic,,14.79,12900,Dealer,,,,Petrol,2525,0,0,4
grand i10,2013,3.9,,0,Manual,,5.7,53000,Dealer,,,,Diesel,2533,0,1,1
grand i10,2015,5.5,,0,Manual,,5.7,4492,Dealer,,,,Petrol,2533,0,1,4
verna,2017,9.1,,0,Manual,,9.4,15141,Dealer,,,,Petrol,2544,0,1,4
eon,2016,3.1,,0,Manual,,4.43,11849,Dealer,,,,Petrol,2526,0,1,4
creta,2015,11.25,,0,Manual,,13.6,68000,Dealer,,,,Diesel,2523,0,1,1
verna,2013,4.8,,0,Manual,,9.4,60241,Dealer,,,,Petrol,2544,0,1,4
eon,2012,2.0,,0,Manual,,4.43,23709,Dealer,,,,Petrol,2526,0,1,4
verna,2012,5.35,,0,Manual,,9.4,32322,Dealer,,,,Diesel,2544,0,1,1
i20,2016,6.25,,0,Manual,,7.6,7000,Dealer,,,,Petrol,2535,0,1,4
verna,2013,5.95,,0,Manual,,9.4,49000,Dealer,,,,Diesel,2544,0,1,1
verna,2012,5.2,,0,Manual,,9.4,71000,Dealer,,,,Diesel,2544,0,1,1
i20,2012,3.75,,0,Manual,,6.79,35000,Dealer,,,,Petrol,2535,0,1,4
verna,2015,5.95,,0,Manual,,9.4,36000,Dealer,,,,Petrol,2544,0,1,4
i20,2016,5.25,,0,Manual,,7.6,17000,Dealer,,,,Petrol,2535,0,1,4
creta,2016,12.9,,0,Manual,,13.6,35934,Dealer,,,,Diesel,2523,0,1,1
brio,2015,5.4,,0,Automatic,,6.82,31427,Dealer,,,,Petrol,2517,0,0,4
city,2014,7.2,,0,Manual,,9.9,48000,Dealer,,,,Diesel,2520,0,1,1
city,2013,5.25,,0,Manual,,9.9,54242,Dealer,,,,Petrol,2520,0,1,4
brio,2012,3.0,,0,Manual,,5.35,53675,Dealer,,,,Petrol,2517,0,1,4
city,2016,10.25,,0,Manual,,13.6,49562,Dealer,,,,Petrol,2520,0,1,4
city,2015,8.5,,0,Manual,,13.6,40324,Dealer,,,,Petrol,2520,0,1,4
city,2015,8.4,,0,Manual,,13.6,25000,Dealer,,,,Petrol,2520,0,1,4
amaze,2014,3.9,,0,Manual,,7.0,36054,Dealer,,,,Petrol,2515,0,1,4
city,2016,9.15,,0,Manual,,13.6,29223,Dealer,,,,Petrol,2520,0,1,4
brio,2016,5.5,,0,Manual,,5.97,5600,Dealer,,,,Petrol,2517,0,1,4
amaze,2015,4.0,,0,Manual,,5.8,40023,Dealer,,,,Petrol,2515,0,1,4
jazz,2016,6.6,,0,Manual,,7.7,16002,Dealer,,,,Petrol,2538,0,1,4
jazz,2017,6.5,,0,Manual,,8.7,21200,Dealer,,,,Petrol,2538,0,1,4
amaze,2014,3.65,,0,Manual,,7.0,35000,Dealer,,,,Petrol,2515,0,1,4
city,2016,8.35,,0,Manual,,9.4,19434,Dealer,,,,Diesel,2520,0,1,1
brio,2017,4.8,,0,Manual,,5.8,19000,Dealer,,,,Petrol,2517,0,1,4
city,2015,6.7,,0,Manual,,10.0,18828,Dealer,,,,Petrol,2520,0,1,4
city,2011,4.1,,0,Manual,,10.0,69341,Dealer,,,,Petrol,2520,0,1,4
city,2009,3.0,,0,Manual,,10.0,69562,Dealer,,,,Petrol,2520,0,1,4
city,2015,7.5,,0,Manual,,10.0,27600,Dealer,,,,Petrol,2520,0,1,4
jazz,2010,2.25,,0,Manual,,7.5,61203,Dealer,,,,Petrol,2538,0,1,4
city,2016,10.9,,0,Automatic,,13.6,30753,Dealer,,,,Petrol,2520,0,0,4
city,2015,8.65,,0,Manual,,13.6,24800,Dealer,,,,Petrol,2520,0,1,4
city,2015,9.7,,0,Manual,,13.6,21780,Dealer,,,,Petrol,2520,0,1,4
city,2014,6.25,,0,Manual,,13.6,40126,Dealer,,,,Petrol,2520,0,1,4
brio,2015,5.25,,0,Manual,,5.9,14465,Dealer,,,,Petrol,2517,0,1,4
city,2006,2.1,,0,Manual,,7.6,50456,Dealer,,,,Petrol,2520,0,1,4
city,2014,8.25,,0,Manual,,14.0,63000,Dealer,,,,Diesel,2520,0,1,1
city,2016,8.99,,0,Manual,,11.8,9010,Dealer,,,,Petrol,2520,0,1,4
brio,2013,3.5,,0,Manual,,5.9,9800,Dealer,,,,Petrol,2517,0,1,4
jazz,2016,7.4,,0,Automatic,,8.5,15059,Dealer,,,,Petrol,2538,0,0,4
jazz,2016,5.65,,0,Manual,,7.9,28569,Dealer,,,,Petrol,2538,0,1,4
amaze,2015,5.75,,0,Automatic,,7.5,44000,Dealer,,,,Petrol,2515,0,0,4
city,2015,8.4,,0,Manual,,13.6,34000,Dealer,,,,Petrol,2520,0,1,4
city,2016,10.11,,0,Manual,,13.6,10980,Dealer,,,,Petrol,2520,0,1,4
amaze,2014,4.5,,0,Manual,,6.4,19000,Dealer,,,,Petrol,2515,0,1,4
brio,2015,5.4,,0,Manual,,6.1,31427,Dealer,,,,Petrol,2517,0,1,4
jazz,2016,6.4,,0,Manual,,8.4,12000,Dealer,,,,Petrol,2538,0,1,4
city,2010,3.25,,0,Manual,,9.9,38000,Dealer,,,,Petrol,2520,0,1,4
amaze,2014,3.75,,0,Manual,,6.8,33019,Dealer,,,,Petrol,2515,0,1,4
city,2015,8.55,,0,Manual,,13.09,60076,Dealer,,,,Diesel,2520,0,1,1
